"target_id","target_label","anchor_field","facility_type","facility_id","facility_name","operator","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:node:13028666077","Ameris Bank","Ameris Bank","","Atlanta","GA","","33.8661832","-84.4651728","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:way:267333601","Ameris Bank","","2401 Windy Ridge Parkway Southeast","Atlanta","GA","30339","33.9033823","-84.4586198","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:way:272511563","Bank of America","Bank of America","3057 Akers Mill Road Southeast","Atlanta","GA","","33.8789194","-84.4639736","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:way:571773498","Chase","Chase","2905 Cobb Parkway South 300","Atlanta","GA","30339","33.8815052","-84.4643854","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:way:264982309","Coastal States bank","","2841 Akers Mill Road Southeast","Atlanta","GA","","33.883814","-84.4608165","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:way:272512007","Delta Community Credit Union","","3250 Riverwood Parkway Southeast","Atlanta","GA","30339","33.8770648","-84.4601828","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:node:3468351785","Fifth Third Bank","Fifth Third Bank","2810 Paces Ferry Road Southeast 156","Atlanta","GA","30339","33.8655846","-84.4698169","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:way:314341448","Fifth Third Bank","Fifth Third Bank","2197 Cobb Parkway South","Smyrna","GA","30080","33.8975093","-84.4814241","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:node:13374627932","Navy Federal Credit Union","Navy Federal Credit Union","2980 Cobb Parkway South 100","Atlanta","GA","","33.8803006","-84.462267","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","address_tag_incomplete"
"cumberland-vinings","Cumberland / Vinings field","suburban_mall_edge","bank_credit_union","osm:node:3383824588","PNC Bank","PNC Bank","3155 Cobb Parkway South","Atlanta","GA","30339","33.8760718","-84.4552508","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
