target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
camp-creek,Camp Creek field,airport_edge_power_center,gas_convenience,osm:way:278548924,Exxon,Exxon,,Atlanta,GA,,33.6551786,-84.4950239,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
camp-creek,Camp Creek field,airport_edge_power_center,gas_convenience,osm:way:288997185,Gas Convenience,,,Atlanta,GA,,33.6582455,-84.5061923,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
camp-creek,Camp Creek field,airport_edge_power_center,gas_convenience,osm:way:969933749,RaceTrac,RaceTrac,,Atlanta,GA,,33.6539599,-84.5045289,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:node:497203866,Chevron,Chevron,,Decatur,GA,,33.7901011,-84.3068993,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:node:1033057315,Circle K,,,Decatur,GA,,33.7902226,-84.3072101,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:node:554508538,Decatur Station Food Mart,,408,Decatur,GA,,33.7749422,-84.2950302,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:node:1033057298,Food Mart,,,Decatur,GA,,33.7900218,-84.3061587,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:node:11328597190,Gas Convenience,,,Decatur,GA,,33.7752035,-84.2970494,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:way:540854594,Gas Convenience,,Clairmont,Decatur,GA,,33.7987271,-84.306762,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:way:51290090,Gulf,Gulf,,Decatur,GA,,33.7930821,-84.2903401,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
decatur-emory,Decatur / Emory field,inner_service_village,gas_convenience,osm:node:544530663,Pure Station,,249,Decatur,GA,,33.7753993,-84.2929512,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
