target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:11265802449,23FITCLUB,,10604 Northeast 9th Place I,Bellevue,WA,98004,47.6187539,-122.1988856,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:6059131001,Barre3,Barre3,140,Bellevue,WA,,47.6196692,-122.195845,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:4188507099,CorePower Yoga,CorePower Yoga,10307 Northeast 10th Street,Bellevue,WA,98004,47.6191036,-122.2028753,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:6395008271,Elevate Fitlife,,10608 Northeast 2nd Street,Bellevue,WA,,47.6122376,-122.1986565,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:5608446847,Infrared Yoga,,1032 106th Avenue Northeast 124,Bellevue,WA,98004,47.6197849,-122.1989402,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:3306791362,LA Fitness,LA Fitness,550 106th Avenue Northeast 215,Bellevue,WA,98004,47.6152002,-122.1982816,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:5603371512,Nancy Wallace Pilates,,990 102nd Avenue Northeast 200,Bellevue,WA,98004,47.6187028,-122.2037387,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:way:31537858,Orangetheory Fitness,Orangetheory Fitness,30 Bellevue Way Northeast,Bellevue,WA,98004,47.6107801,-122.201205,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:3883822560,Pure Barre,Pure Barre,,Bellevue,WA,,47.6184149,-122.191468,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:4849029106,SoulCycle,SoulCycle,10470 Northeast 4th Street,Bellevue,WA,,47.6140435,-122.2005884,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:5397534321,The Ashram Yoga Bellevue,,958 111th Avenue Northeast,Bellevue,WA,98004,47.6186352,-122.1917963,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:11332286253,The Pursuit,,1039 106th Avenue Northeast,Bellevue,WA,98004,47.6196477,-122.1993476,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:way:1326151814,TruFusion,,500 Bellevue Way Northeast Suite 230,Bellevue,WA,98004,47.6144331,-122.201269,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:5833613060,bStrong Bellevue,,11000 Northeast 10th Street,Bellevue,WA,,47.619471,-122.1933928,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,osm:node:3883822563,bStrong Personal Training,,989 112th Avenue Northeast 102,Bellevue,WA,98004,47.6192032,-122.1916695,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
