"target_id","target_label","anchor_field","facility_type","facility_id","facility_name","operator","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:34775563","Bagley Park","","100 Bagley Street Northeast","Atlanta","GA","30305","33.835221","-84.372551","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:679365878","Blue Heron Nature Preserve","","4055 Roswell Road NE","Atlanta","GA","30342","33.867214","-84.3798213","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:96433200","Buckhead Triangle Park","","","Atlanta","GA","","33.840116","-84.3792158","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:node:358782434","Garden Hills Historic District","","","Atlanta","GA","","33.8340229","-84.3777507","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:1424029621","Indian Creek Park","City of Atlanta Parks","3162 Lenox Road Northeast","Atlanta","GA","30324","33.8409546","-84.3591736","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:221654094","Little Nancy Creek Park","","","Atlanta","GA","","33.8642473","-84.3588353","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:586417907","Marie Sims Park","","","Atlanta","GA","","33.8486872","-84.3556692","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:node:358782467","Peachtree Highlands Historic District","","","Atlanta","GA","","33.8417708","-84.3663151","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:1392898787","Peachtree Park Nature Trail","","","Atlanta","GA","","33.8335851","-84.3617408","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
"buckhead-lenox-phipps","Buckhead / Lenox / Phipps field","urban_luxury_mall_cluster","park","osm:way:461661403","Pharr Circle Park","","","Atlanta","GA","","33.8382674","-84.3843702","OpenStreetMap Overpass API","2026-08-13","open","ODbL; attribution and share-alike required","packet_ready","primary_civic_facility_candidate"
