target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,post_office,osm:way:179384842,Dallas Post Office - Downtown Station,United States Postal Service,400 North Ervay Street,Dallas,TX,75201,32.7838041,-96.7982396,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,post_office,osm:way:221378903,Dallas Post Office - Oak Lawn Station,United States Postal Service,2825 Oak Lawn Avenue,Dallas,TX,75040,32.8078894,-96.8107868,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,post_office,osm:node:13373023480,FedEx Ship Center,FedEx,,Dallas,TX,,32.7850434,-96.7972661,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,post_office,osm:node:9921246460,The UPS Store,The UPS Store,,Dallas,TX,,32.809907,-96.8095156,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,post_office,osm:way:1081622250,The UPS Store,The UPS Store,1408 North Riverfront Boulevard,Dallas,TX,75207,32.7903994,-96.8200913,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
northpark-preston-hollow,NorthPark / Preston Hollow field,north_dallas_regional_mall_field,post_office,osm:way:222702375,Dallas Post Office - Preston Station,United States Postal Service,8604 Turtle Creek Boulevard,Dallas,TX,75225,32.8667357,-96.7892798,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
northpark-preston-hollow,NorthPark / Preston Hollow field,north_dallas_regional_mall_field,post_office,osm:node:13020082214,The UPS Store,The UPS Store,,Dallas,TX,,32.8883348,-96.7716853,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,post_office,osm:node:1797092019,Addison Circle Post,,5015 Addison Circle,Addison,TX,75001,32.9620834,-96.8247328,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,post_office,osm:way:258698180,Addison Post Office,United States Postal Service,4900 Airport Parkway,Addison,TX,75001,32.9655201,-96.8279386,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,post_office,osm:way:259265819,Dallas Post Office - Spring Valley Station,United States Postal Service,13770 Noel Road,Dallas,TX,75240,32.9356698,-96.8171399,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,post_office,osm:node:10276856995,The UPS Store,The UPS Store,,Dallas,TX,,32.9385289,-96.839645,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,post_office,osm:node:8944634671,The UPS Store,The UPS Store,212,Dallas,TX,,32.9547918,-96.8402111,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
legacy-frisco-plano,Legacy / Frisco / Plano field,north_growth_edge_city_field,post_office,osm:node:13354511960,Goin' Postal,,9201 Warren Parkway 200,Plano,TX,,33.1086445,-96.8035803,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
legacy-frisco-plano,Legacy / Frisco / Plano field,north_growth_edge_city_field,post_office,osm:node:11710159889,The UPS Store,The UPS Store,,Plano,TX,,33.1156083,-96.837271,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
legacy-frisco-plano,Legacy / Frisco / Plano field,north_growth_edge_city_field,post_office,osm:node:2941379602,The UPS Store,The UPS Store,B3,Plano,TX,,33.0774782,-96.820634,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
southlake-town-square,Southlake Town Square field,affluent_suburban_town_center_field,post_office,osm:way:449461859,Southlake Post Office,United States Postal Service,300 State St,Southlake,TX,76092,32.9442525,-97.1325384,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
