county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying,metro_context_status,relationship_source,relationship_vintage
13001,Appling County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13005,Bacon County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13009,Baldwin County,33300,Milledgeville GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13013,Barrow County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13015,Bartow County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13017,Ben Hill County,22340,Fitzgerald GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13019,Berrien County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13021,Bibb County,31420,Macon-Bibb County GA,Metropolitan Statistical Area,356,Macon-Bibb County--Warner Robins GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13023,Bleckley County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13025,Brantley County,15260,Brunswick-St. Simons GA,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13027,Brooks County,46660,Valdosta GA,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13029,Bryan County,42340,Savannah GA,Metropolitan Statistical Area,496,Savannah-Hinesville-Statesboro GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
