zcta_candidate,county_geoid,county_name,relationship_source,relationship_vintage
30004,13121,Fulton County,Census 2020 ZCTA5 County relationship file,2020
30009,13121,Fulton County,Census 2020 ZCTA5 County relationship file,2020
30013,13247,Rockdale County,Census 2020 ZCTA5 County relationship file,2020
30014,13217,Newton County,Census 2020 ZCTA5 County relationship file,2020
30019,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30024,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30033,13089,DeKalb County,Census 2020 ZCTA5 County relationship file,2020
30035,13089,DeKalb County,Census 2020 ZCTA5 County relationship file,2020
30038,13089,DeKalb County,Census 2020 ZCTA5 County relationship file,2020
30041,13117,Forsyth County,Census 2020 ZCTA5 County relationship file,2020
30043,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30047,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30052,13297,Walton County,Census 2020 ZCTA5 County relationship file,2020
30062,13067,Cobb County,Census 2020 ZCTA5 County relationship file,2020
30064,13067,Cobb County,Census 2020 ZCTA5 County relationship file,2020
30066,13067,Cobb County,Census 2020 ZCTA5 County relationship file,2020
30075,13121,Fulton County,Census 2020 ZCTA5 County relationship file,2020
30076,13121,Fulton County,Census 2020 ZCTA5 County relationship file,2020
30078,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30093,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30096,13135,Gwinnett County,Census 2020 ZCTA5 County relationship file,2020
30097,13121,Fulton County,Census 2020 ZCTA5 County relationship file,2020
30101,13067,Cobb County,Census 2020 ZCTA5 County relationship file,2020
30106,13067,Cobb County,Census 2020 ZCTA5 County relationship file,2020
30114,13057,Cherokee County,Census 2020 ZCTA5 County relationship file,2020
30115,13057,Cherokee County,Census 2020 ZCTA5 County relationship file,2020
30117,13045,Carroll County,Census 2020 ZCTA5 County relationship file,2020
30120,13015,Bartow County,Census 2020 ZCTA5 County relationship file,2020
30122,13097,Douglas County,Census 2020 ZCTA5 County relationship file,2020
30125,13233,Polk County,Census 2020 ZCTA5 County relationship file,2020
30127,13067,Cobb County,Census 2020 ZCTA5 County relationship file,2020
30135,13097,Douglas County,Census 2020 ZCTA5 County relationship file,2020
30141,13223,Paulding County,Census 2020 ZCTA5 County relationship file,2020
30143,13227,Pickens County,Census 2020 ZCTA5 County relationship file,2020
