zcta_candidate,county_geoid,county_name,relationship_source,relationship_vintage
98002,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98003,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98005,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98006,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98007,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98011,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98012,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98019,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98022,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98023,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98026,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98027,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98028,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98030,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98031,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98032,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98033,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98034,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98036,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98037,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98038,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98042,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98043,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98045,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98052,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98055,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98056,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98057,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98058,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98059,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98070,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98072,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98087,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98103,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98105,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98106,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98107,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98118,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98125,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98126,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98133,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98134,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98144,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98146,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98148,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98155,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98166,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98168,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98198,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98201,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98203,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98204,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98208,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98221,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98223,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98225,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98226,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98230,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98233,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98241,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98245,53055,San Juan County,Census 2020 ZCTA5 County relationship file,2020
98247,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98248,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98249,53029,Island County,Census 2020 ZCTA5 County relationship file,2020
98250,53055,San Juan County,Census 2020 ZCTA5 County relationship file,2020
98252,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98257,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98258,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98261,53055,San Juan County,Census 2020 ZCTA5 County relationship file,2020
98264,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98270,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98272,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98273,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98277,53029,Island County,Census 2020 ZCTA5 County relationship file,2020
98284,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98290,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98292,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98294,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98295,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98296,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98311,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98312,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98326,53009,Clallam County,Census 2020 ZCTA5 County relationship file,2020
98328,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98331,53031,Jefferson County,Census 2020 ZCTA5 County relationship file,2020
98332,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98335,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98336,53041,Lewis County,Census 2020 ZCTA5 County relationship file,2020
98337,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98338,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98346,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98356,53041,Lewis County,Census 2020 ZCTA5 County relationship file,2020
98360,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98361,53041,Lewis County,Census 2020 ZCTA5 County relationship file,2020
98362,53009,Clallam County,Census 2020 ZCTA5 County relationship file,2020
98366,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98368,53031,Jefferson County,Census 2020 ZCTA5 County relationship file,2020
98370,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98371,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98372,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98373,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98375,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98382,53009,Clallam County,Census 2020 ZCTA5 County relationship file,2020
98383,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98387,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98390,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98391,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98404,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98406,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98408,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98409,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98418,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98424,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98444,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98446,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98466,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98498,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98499,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98501,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98502,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98503,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98512,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98513,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98516,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
