zcta_candidate,county_geoid,county_name,relationship_source,relationship_vintage
98001,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98002,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98003,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98004,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98005,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98006,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98007,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98012,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98020,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98021,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98022,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98023,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98026,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98027,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98028,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98029,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98030,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98031,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98032,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98033,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98034,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98036,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98037,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98038,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98040,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98042,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98045,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98052,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98053,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98055,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98056,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98057,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98058,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98059,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98072,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98074,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98087,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98092,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98101,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98103,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98105,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98107,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98108,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98109,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98110,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98116,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98117,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98118,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98125,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98126,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98133,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98134,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98136,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98144,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98146,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98148,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98155,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98158,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98166,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98188,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98198,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98201,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98203,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98204,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98208,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98221,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98223,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98225,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98226,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98230,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98233,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98248,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98252,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98258,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98264,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98270,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
