zcta_candidate,county_geoid,county_name,relationship_source,relationship_vintage
98002,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98003,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98005,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98011,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98012,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98027,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98029,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98030,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98032,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98036,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98037,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98042,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98052,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98057,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98106,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98133,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98134,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98144,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98188,53033,King County,Census 2020 ZCTA5 County relationship file,2020
98201,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98204,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98223,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98226,53073,Whatcom County,Census 2020 ZCTA5 County relationship file,2020
98233,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98271,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98272,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98273,53057,Skagit County,Census 2020 ZCTA5 County relationship file,2020
98277,53029,Island County,Census 2020 ZCTA5 County relationship file,2020
98290,53061,Snohomish County,Census 2020 ZCTA5 County relationship file,2020
98332,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98367,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98370,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98374,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98382,53009,Clallam County,Census 2020 ZCTA5 County relationship file,2020
98383,53035,Kitsap County,Census 2020 ZCTA5 County relationship file,2020
98391,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98409,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98445,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98466,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98499,53053,Pierce County,Census 2020 ZCTA5 County relationship file,2020
98501,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98512,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98516,53067,Thurston County,Census 2020 ZCTA5 County relationship file,2020
98520,53027,Grays Harbor County,Census 2020 ZCTA5 County relationship file,2020
98532,53041,Lewis County,Census 2020 ZCTA5 County relationship file,2020
98632,53015,Cowlitz County,Census 2020 ZCTA5 County relationship file,2020
98662,53011,Clark County,Census 2020 ZCTA5 County relationship file,2020
98665,53011,Clark County,Census 2020 ZCTA5 County relationship file,2020
98683,53011,Clark County,Census 2020 ZCTA5 County relationship file,2020
98801,53007,Chelan County,Census 2020 ZCTA5 County relationship file,2020
98837,53025,Grant County,Census 2020 ZCTA5 County relationship file,2020
98841,53047,Okanogan County,Census 2020 ZCTA5 County relationship file,2020
98903,53077,Yakima County,Census 2020 ZCTA5 County relationship file,2020
99019,53063,Spokane County,Census 2020 ZCTA5 County relationship file,2020
99037,53063,Spokane County,Census 2020 ZCTA5 County relationship file,2020
99148,53065,Stevens County,Census 2020 ZCTA5 County relationship file,2020
99208,53063,Spokane County,Census 2020 ZCTA5 County relationship file,2020
99212,53063,Spokane County,Census 2020 ZCTA5 County relationship file,2020
99218,53063,Spokane County,Census 2020 ZCTA5 County relationship file,2020
99301,53021,Franklin County,Census 2020 ZCTA5 County relationship file,2020
99324,53071,Walla Walla County,Census 2020 ZCTA5 County relationship file,2020
99336,53005,Benton County,Census 2020 ZCTA5 County relationship file,2020
99337,53005,Benton County,Census 2020 ZCTA5 County relationship file,2020
99352,53005,Benton County,Census 2020 ZCTA5 County relationship file,2020
