brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
CVS Pharmacy,bde8438b-191d-44ec-b250-4b1e809e00d4,CVS Pharmacy,955 W Bay Ave,Barnegat,NJ,08005-1250,39.75954055786133,-74.25479125976562,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,4538a126-d57f-4ea0-920f-1fbd30e62a39,CVS Pharmacy,21 Goldsborough Dr,Bayonne,NJ,07002-5069,40.671791076660156,-74.10569763183594,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,ada67d78-948b-45b2-928d-b13e98fc7031,CVS Pharmacy,560 Avenue C,Bayonne,NJ,07002-3704,40.666481018066406,-74.11896514892578,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,32d22152-7ad7-49d7-ab3e-c1c67caef1d9,CVS Pharmacy,300 Atlantic City Blvd,Beachwood,NJ,08722-2800,39.93980026245117,-74.19027709960938,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,d98e83e7-f8dc-4030-9ae8-3d843e8d08bc,CVS Pharmacy,414 US-202/206,Bedminster,NJ,07921-1514,40.649879455566406,-74.64192962646484,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,a5b7b141-b270-42cd-ba57-5d332707cc5e,CVS Pharmacy,2311 US Highway 206,Belle Mead,NJ,08502-4035,40.46004867553711,-74.65808868408203,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,3121f443-47a2-4767-9511-7965e4044113,CVS Pharmacy,107 Morristown Rd,Bernardsville,NJ,07924-2359,40.7192268371582,-74.560791015625,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,1bcce53e-422e-4204-9b9d-65c3c88c6a83,CVS Pharmacy,5000 Route 42,Blackwood,NJ,08012-1733,39.75008773803711,-75.04487609863281,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,5e2b246d-dd81-4b98-9aaa-f216ca960958,CVS Pharmacy,701 College Dr,Blackwood,NJ,08012-3239,39.791900634765625,-75.03531646728516,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,71e7ff55-900a-408b-8a07-2692a693c3ee,CVS Pharmacy,250 Glenwood Ave,Bloomfield,NJ,07003-2352,40.79146194458008,-74.20040130615234,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,1d2a0b42-fe1f-4f80-94aa-10b915cddd82,CVS Pharmacy,331 Broad St,Bloomfield,NJ,07003-2736,40.80519104003906,-74.19354248046875,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,2d1695b3-e939-47b6-81dc-b27dcea5a360,CVS Pharmacy,440 Union Ave,Bridgewater,NJ,08807-3142,40.56907272338867,-74.57682800292969,Overture Places 2026-07-22.0,2026-07-22,open
