brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
Home Depot,1c7836c7-494e-43e6-9039-4b3225d94aa2,The Home Depot,2213 Port Industrial Rd,Aberdeen,WA,98520-4570,46.965484619140625,-123.84197235107422,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,77acc2f6-06e8-47d2-b9e7-ad36e15ed6f8,The Home Depot,325 120th Ave NE,Bellevue,WA,98005-3025,47.612457275390625,-122.18170928955078,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,a383072e-ce94-45fd-a7c0-83aa5c74c094,The Home Depot,420 Telegraph Rd,Bellingham,WA,98226-8753,48.785465240478516,-122.47982788085938,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,c217a919-a3c1-4374-8170-3d65c2cbf415,The Home Depot,9602 214th Ave E,Bonney Lake,WA,98391-8337,47.17014694213867,-122.14617919921875,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,4ea5a07b-565c-47ce-9556-32e4d1df56b5,The Home Depot,18333 120th Ave NE,Bothell,WA,98011-9515,47.75994110107422,-122.17774963378906,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,a3c96e8d-bf5b-4db2-8327-430b2b4a48cd,The Home Depot,2001 Marketplace Dr,Burlington,WA,98233-3207,48.44795227050781,-122.33868408203125,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,c4853dbb-5e0a-4406-813a-65d9d6abce04,The Home Depot,1701 NW Louisiana Ave,Chehalis,WA,98532,46.6815071105957,-122.97686004638672,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,efb59acd-918b-47c7-a0e1-44d94df81e87,The Home Depot,1701 NW Louisiana Ave,Chehalis,WA,98532-1709,46.68141174316406,-122.97676849365234,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,a9710f47-1980-4e25-91bd-e0d30f48a705,The Home Depot,1100 NE C St,College Place,WA,99324,46.05147171020508,-118.37223815917969,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,fbbc3217-3f0b-48eb-8dba-de1797ae1c58,The Home Depot,27027 185th Ave SE,Covington,WA,98042-8418,47.35967254638672,-122.09730529785156,Overture Places 2026-07-22.0,2026-07-22,open
Home Depot,9c074382-880f-4235-8095-23522d8180d7,The Home Depot,11915 Highway 99,Everett,WA,98204-5518,47.888545989990234,-122.25631713867188,Overture Places 2026-07-22.0,2026-07-22,open
