brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
Burger King,ff0c2ce2-0e46-4fd6-9114-975f8e44f7dc,Burger King,8417 N. US Hwy 287,ALVORD,TX,76225-0000,33.312042236328125,-97.65513610839844,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,63ab0f75-d674-4077-b1b2-65cc32b6ad62,Burger King,3650 S Clack St,Abilene,TX,79606,32.406776428222656,-99.76828002929688,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,72f68c0e-ac86-4645-a9bf-4a2f17d0c35c,Burger King,3901 N 1st St,Abilene,TX,79603,32.45192337036133,-99.77084350585938,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,934eeb90-bdb0-432b-98ef-1aac03955676,Burger King,446 E Frontage Rd,Alamo,TX,78516,26.19044303894043,-98.10932922363281,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,8993221f-f0b7-497e-a7b1-96171b9b3342,Burger King,1800 E Main St,Alice,TX,78332,27.75946807861328,-98.05154418945312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,6c0ae04f-5b9b-4f36-ab69-84fc6510c1e0,Burger King,6920 US-67,Alvarado,TX,76009,32.41542053222656,-97.23055267333984,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,0acd09e7-8a5b-471e-ac3c-6a0429de18ae,Burger King,1249 FM 1462,Alvin,TX,77511,29.400400161743164,-95.24851989746094,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,6cf8cdaa-e2fb-4b11-90b3-06e593c020f0,Burger King,1601 E TX-6,Alvin,TX,77511-2202,29.42439079284668,-95.22834777832031,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,485576a7-ea09-4d55-b39c-30b8f72fda12,Burger King,8417 US-287,Alvord,TX,76225,33.392822265625,-97.73001098632812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Burger King,f53f69f8-ff1e-46ad-9eb7-369832f8271a,Burger King,1314 Ross St,Amarillo,TX,79102,35.19676208496094,-101.81721496582031,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
