brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
Burger King,7ad3c5d6-8e45-46bf-917a-96eae6b62ed8,Burger King,620 E Heron St,Aberdeen,WA,98520,46.97677230834961,-123.81106567382812,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,758e1d84-9f4d-41b6-8032-a455d0413a0c,Burger King,20318 77th Ave NE,Arlington,WA,98223,48.18046569824219,-122.1270523071289,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,aedede0c-af3b-407f-9402-2d715a6fc350,Burger King,1520 Outlet Collection Way SW,Auburn,WA,98001,47.2962646484375,-122.25184631347656,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,f3e8456a-a1f7-4500-8eb3-e4bd33f780cd,Burger King,320 Auburn Way S,Auburn,WA,98002,47.30461502075195,-122.22512817382812,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,62cae20a-537c-4e63-ae3e-9004365a8785,Burger King,930 SW Scotton Way,Battle Ground,WA,98604,45.771263122558594,-122.546875,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,1a0925c1-ecbe-4f28-b930-aaa4c5b592cc,Burger King,11723 NE 8th St,Bellevue,WA,98005-3005,47.61689758300781,-122.18338775634766,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,0ffb9176-600f-459e-8cce-58555d44aab8,Burger King,4015 Factoria Blvd SE,Bellevue,WA,98006,47.57435989379883,-122.1699447631836,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,689f5be8-27c1-40e1-ba4c-0d4d7faba008,Burger King,201 Telegraph Rd,Bellingham,WA,98226,48.78410339355469,-122.48468780517578,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,dcbf8ad7-dd0d-49ed-a2d8-5e5f1e7fa599,Burger King,1310 H St,Blaine,WA,98230,48.994571685791016,-122.73405456542969,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,95272652-b481-4a6a-b5c9-2f8373693510,Burger King,21211 WA-410,Bonney Lake,WA,98391,47.16716766357422,-122.1463851928711,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,54051ef5-3411-43b9-a946-6727ae0330e4,Burger King,1554 NE Fairgrounds Rd,Bremerton,WA,98311,47.632789611816406,-122.62965393066406,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,84015d6a-1780-432b-84f9-2d65253d9516,Burger King,3333 Kitsap Way,Bremerton,WA,98312,47.57106018066406,-122.66151428222656,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,edd31a81-e211-4c21-a864-5cb7ffe1baab,Burger King,14893 4th Ave SW,Burien,WA,98166-1513,47.469844818115234,-122.33926391601562,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,9d5efaac-14be-412c-bc90-1aab15a0182d,Burger King,1209 Mt St Helens Way NE,Castle Rock,WA,98611,46.28638458251953,-122.90074920654297,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,8e6a9878-0aac-49e3-bf95-2551b8d03b21,Burger King,129 Kirkland Rd,Chehalis,WA,98532,46.60576629638672,-122.9040756225586,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,1ba46e21-32d2-49c1-8549-14924cbbca91,Burger King,650 NW Arkansas Way,Chehalis,WA,98532-7649,46.678985595703125,-122.97523498535156,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,c0324260-bbc1-472a-a8c9-6d17a5103a1a,Burger King,2366 Taumarson Rd,College Place,WA,99324-1300,46.031639099121094,-118.3786849975586,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,633f74a4-de4a-43a4-b48e-5b92b245f91c,Burger King,21920 Pacific Hwy S,Des Moines,WA,98198-7700,47.40519332885742,-122.29798126220703,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,bc2f85a6-27c4-4ed9-aa03-f321f3f640cf,Burger King,610 Grant Rd,East Wenatchee,WA,98802,47.405494689941406,-120.280029296875,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,ccbf3a43-6628-4d37-883a-ec68f287ea41,Burger King,7609 212th St SW,Edmonds,WA,98026-7557,47.8072624206543,-122.33625030517578,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,53b46d39-1b32-4e3f-96d3-2362436c41cf,Burger King,1410 S Canyon Rd,Ellensburg,WA,98926,46.97885513305664,-120.54373168945312,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,5cffc601-f52f-4db2-85c8-4d1616380d14,Burger King,10 Marilyn Lane,Elma,WA,98541,47.00632858276367,-123.38803100585938,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,5a4d5bb8-9023-4f5b-8894-06f8d75754ea,Burger King,1306 Basin St SW,Ephrata,WA,98823,47.30730056762695,-119.56087493896484,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,9f8ee532-e4a6-4d50-af0a-44616b252d42,Burger King,2424 Broadway,Everett,WA,98201-3019,47.98488235473633,-122.2018814086914,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,74dde31e-61cd-43d6-8b77-c65d2eed7035,Burger King,8525 Evergreen Way,Everett,WA,98208-2616,47.92000198364258,-122.22925567626953,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,f3b5a696-dd7f-40b4-acf5-15ad52fa3324,Burger King,9803 19th Ave SE,Everett,WA,98208-3810,47.90837097167969,-122.20653533935547,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,d1a569f4-34da-4305-931b-c040d2a08848,Burger King,180 Fairchild Hwy Bldg 2459,Fairchild AFB,WA,99011,47.634525299072266,-117.65432739257812,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,57ab1c17-04b8-43a8-8c86-2643101da0e4,Burger King,34819 Pacific Hwy S,Federal Way,WA,98003-8308,47.289344787597656,-122.31858825683594,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,2f32e721-13eb-4250-95cd-b23faa481682,Burger King,4903 Pacific Hwy E,Fife,WA,98424-2617,47.24354553222656,-122.36271667480469,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,99651997-30ec-4ae6-b24f-bea2b69a75f5,Burger King,6908 Kimball Dr,Gig Harbor,WA,98335,47.32166290283203,-122.58804321289062,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,92df3d45-ec72-4f54-bd08-2d60cbb3be90,Burger King,22022 Meridian E,Graham,WA,98338,47.05612564086914,-122.29551696777344,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,a75f3597-adcc-45dd-9298-b438b6eb0048,Burger King,1705 NW Gilman Blvd,Issaquah,WA,98027-5314,47.54538345336914,-122.06370544433594,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,8c8cb24d-d33b-4654-8843-b25a028b3c87,Burger King,Bldg. 11566 41st Division Dr.,JBLM,WA,98433,47.08880615234375,-122.60238647460938,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,a53e26b5-d6eb-4632-82a1-ead5712a36bc,Burger King,1021 Allen St,Kelso,WA,98626,46.144107818603516,-122.90029907226562,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,8fb675e7-4d56-47eb-a7aa-9f20f300af80,Burger King,1001 S Washington St,Kennewick,WA,99337,46.19789505004883,-119.11676025390625,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,a17fca7b-b684-4901-9e10-0fb02ffa35b1,Burger King,2703 S Quillan St,Kennewick,WA,99337,46.18409729003906,-119.1736831665039,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,88cda92a-b98a-443d-9e3e-bd367fa60733,Burger King,7407 W Canal Dr,Kennewick,WA,99336,46.226192474365234,-119.22044372558594,Overture Places 2026-07-22.0,2026-07-22,open
Burger King,8dc8358e-20ac-49a0-ab9f-9a4e9388e334,Burger King,1240 W Meeker St,Kent,WA,98032,47.380924224853516,-122.24925231933594,Overture Places 2026-07-22.0,2026-07-22,open
