brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
Shopping Center,14b286c8-9b14-434e-bc51-e004fbc935d2,Burbank Shopping Center,5400 W 79th St,Burbank,IL,60459-1595,41.74933624267578,-87.75575256347656,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Mall,dbbf0deb-c587-4e8a-aafb-e8a31f8d918f,Ford City Mall,7601 S Cicero Ave,Chicago,IL,60652-1022,41.75591278076172,-87.73663330078125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Retail Center,c8372c7a-2808-474c-a06e-721f5046a199,Oak Brook Dental Center,340 W Butterfield Rd,Elmhurst,IL,60126-5023,41.8651008605957,-87.9495849609375,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Village,69aa7f73-b55b-4c16-b335-d47fad306a26,Old Orchard Country Club Village,801 Butternut Ln,Mount Prospect,IL,60056,42.09334945678711,-87.94763946533203,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,5f936263-de81-4df2-8f3d-017281ae228b,OAKBROOK CENTER MALL,52 OAKBROOK CENTER,OAK BROOK,IL,60523,41.84859848022461,-87.95570373535156,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,09e9b083-12ba-468a-80b8-de6672a7eb02,Doctors of Optometry - Oakbrook Center Mall,280 Oakbrook Center Mall,Oak Brook,IL,60521,41.850341796875,-87.95220947265625,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,f600e556-e6b5-4a7e-84bd-bdede5bdfae5,Oakbrook Mall,519 Oakbrook Center,Oak Brook,IL,60523,41.851783752441406,-87.95242309570312,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,5f176bab-db1f-4d42-8cad-991d1a1923f9,AMC Oakbrook Center 12,600 Oakbrook Center,Oak Brook,IL,60523,41.852333068847656,-87.95278930664062,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,b0696051-54f3-4402-993b-37ea329fe8dd,Chiro One Chiropractic & Wellness Center of Oak Brook,2210 Camden Ct,Oak Brook,IL,60523-1272,41.845054626464844,-87.98361206054688,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,cbed67b7-a311-45e4-b366-54aa6b056126,Chiro One Wellness Center of Oak Brook,2210 Camden Ct,Oak Brook,IL,60523,41.84488296508789,-87.98365783691406,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
