brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
Mall,fbdb7364-6a9b-4377-adf3-7ac91b09d4ba,South Shore Mall,1017 S Boone St,Aberdeen,WA,98520-6700,46.96098327636719,-123.80728149414062,Overture Places 2026-07-22.0,2026-07-22,open
Marketplace,0d7e4c2f-23f6-474b-be9e-e3b8465c6019,The Marketplace,101 N Broadway St,Aberdeen,WA,98520,46.9775276184082,-123.8078842163086,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,56936f4b-90b0-464e-8c72-c37fc9639878,Chinese Village,2409 Simpson Ave,Aberdeen,WA,98520-3517,46.974979400634766,-123.84651947021484,Overture Places 2026-07-22.0,2026-07-22,open
Marketplace,1cc95c76-706f-4264-82c4-57ddfb6510df,Marketplace,100 N Hayford Rd,Airway Heights,WA,99001,47.65852737426758,-117.56427764892578,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,68f803a9-d7f2-4338-9deb-d058bcaa2850,Arrowleaf Village,380 S Aspen St,Airway Heights,WA,99001-6014,47.65226364135742,-117.59806060791016,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,be4d4c0d-ff75-4bb5-9299-eb35894ed416,The Village Tavern,13119 W Sunset Hwy,Airway Heights,WA,99001,47.64250946044922,-117.59269714355469,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,f45a7457-6533-430a-94bb-c3e36492898d,Lakeland Village Golf,470 E Country Club Dr,Allyn,WA,98524-8793,47.38412094116211,-122.84358215332031,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,6046e884-7167-4861-98ab-a58b1582fd2e,Lakeland Village Golf Course and Pro Shop,200 E Old Ranch Rd,Allyn,WA,98524-7714,47.38861083984375,-122.8419189453125,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,7d79777d-8887-4934-a3b0-ddb67c1303e6,The Bistro at Lakeland Village,470 E Country Club Dr,Allyn,WA,98524,47.38421630859375,-122.84347534179688,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,343a7de5-bea7-4c3b-bc69-503b8d871717,Village Pizza,807 Commercial Ave,Anacortes,WA,98221-4112,48.515594482421875,-122.6124038696289,Overture Places 2026-07-22.0,2026-07-22,open
Retail Plaza,23a7c514-358d-4344-8b38-90a2f68e478b,Smokey Point Plaza,3405 172nd St NE,Arlington,WA,98223-7717,48.15306854248047,-122.18465423583984,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,5676b55f-36f9-4d61-ab1f-f983fad7d819,Pilchuck Village,20310 74th Ave NE,Arlington,WA,98223,48.18060302734375,-122.13201141357422,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,64e2f7d9-b821-4ea3-8f20-e71c317fbc63,Village Community Services,3210 Smokey Point Dr,Arlington,WA,98223-7805,48.15482711791992,-122.18639373779297,Overture Places 2026-07-22.0,2026-07-22,open
Retail Village,15405f72-d0e7-4462-9ea9-544f6598c461,Paradise Village,31881 WA-706 E,Ashford,WA,98304-9010,46.75722122192383,-122.01290130615234,Overture Places 2026-07-22.0,2026-07-22,open
Mall,56acc2da-f42b-451e-a47a-a9f91f02f468,Don Small & Sons Oil Distribution Company,112 3rd St NW,Auburn,WA,98001-4001,47.3099479675293,-122.23177337646484,Overture Places 2026-07-22.0,2026-07-22,open
Mall,ea805235-9645-4586-854d-d0702af1ab7d,Finnish Line Shoes Supermall,1101 Outlet Collection Dr Sw Ste 1209,Auburn,WA,98001-6525,47.29903793334961,-122.24076080322266,Overture Places 2026-07-22.0,2026-07-22,open
Mall,6f270560-62c6-4348-b88b-3a40b5a6f4bb,Lakeside Small Engine Repair,30662 34th Pl S,Auburn,WA,98001,47.3250732421875,-122.28980255126953,Overture Places 2026-07-22.0,2026-07-22,open
Mall,ae0ac913-8be1-4a35-b5cc-1328c7725549,Mallard Pointe at Riverbend,802 45th St NE,Auburn,WA,98002-1373,47.34780502319336,-122.2215805053711,Overture Places 2026-07-22.0,2026-07-22,open
Mall,4ea24c74-9be5-453d-9094-54268603af59,Muckleshoot Fireworks Mall,2155 Auburn Way S,Auburn,WA,98002-6320,47.290382385253906,-122.20052337646484,Overture Places 2026-07-22.0,2026-07-22,open
Mall,2f6fb2d3-6d36-448c-b731-06994a1c465c,Small & Sons,112 3rd St NW,Auburn,WA,98001,47.3097038269043,-122.23190307617188,Overture Places 2026-07-22.0,2026-07-22,open
Mall,8d47672a-b7eb-477c-8948-805020de1259,Smart Wireless (The Outlet Collection Mall),1101 Supermall Way,Auburn,WA,98001,47.29645919799805,-122.24586486816406,Overture Places 2026-07-22.0,2026-07-22,open
