brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
Mall,c90284c0-4fb8-4f89-acfb-5a2665cb625a,Bellevue Small Beach Park,99th Ave SE,Bellevue,WA,98004,47.61052322387695,-122.21005249023438,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Mall,40273bce-f159-473a-aab9-b9c4e402838d,CenturyLink Small Business,10200 NE 10th St,Bellevue,WA,98004-4214,47.61948013305664,-122.20398712158203,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Mall,56ed26d3-cfd2-469e-98cc-162e47787ed6,Just Poke Factoria Mall,4059 Factoria Square Mall SE,Bellevue,WA,98006,47.57402801513672,-122.17244720458984,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Mall,6d76915f-88a5-489f-85f7-456383a0e233,Mallory Harwood Hanley - Windermere Real Estate/East Inc.,14405 SE 36th St,Bellevue,WA,98006-1513,47.61051940917969,-122.19127655029297,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Mall,d699d356-ccf6-41bd-8bcb-b266403400e6,The Tux Shop in Factoria Mall,4015 Factoria Blvd SE,Bellevue,WA,98006-6144,47.57462692260742,-122.17121124267578,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Marketplace,ce310b5a-e3a2-4ee7-88db-4e81c84cfd60,Marketplace Cafe,100 Bellevue Sq,Bellevue,WA,98004,47.617069244384766,-122.20451354980469,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Marketplace,25bca048-d6f5-447e-aa08-3a1e7a9ce2b4,The Marketplace at Factoria,4055 Factoria Blvd SE,Bellevue,WA,98006,47.574607849121094,-122.17200469970703,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Marketplace,274db36e-ce1c-470d-ba58-c644fa283760,The Marketplace at Factoria,4055 Factoria Blvd SE,Bellevue,WA,98006-6144,47.57465744018555,-122.17182922363281,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Plaza,b23408e3-73f1-418c-87d7-e200c6decfbc,Ashwood Plaza,NE 10th St & 110th Ave NE,Bellevue,WA,98004,47.61955642700195,-122.19410705566406,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Retail Plaza,b6e62be5-c64e-4252-b3b0-d66ad9395df7,BYB at Plaza Salon Bellevue,10900 NE 8th St,Bellevue,WA,98004-4400,47.6180305480957,-122.19398498535156,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Plaza,53b52323-cd7f-40c1-b13b-12915580de9a,Cafeteria at Microsoft City Center Plaza,500 108th Ave NE,Bellevue,WA,98004-5060,47.61491012573242,-122.19583892822266,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Plaza,4c0a5de0-58fd-44c3-8066-0b46b3e23dca,Gis Plaza,999 110th Ave NE,Bellevue,WA,98004-4671,47.61917495727539,-122.19400024414062,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Plaza,466e9fd0-f253-4e8e-81c4-44179483b659,Plaza East,11100 NE 8th St,Bellevue,WA,98004-4402,47.617557525634766,-122.19149780273438,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Retail Plaza,318dd1d1-139e-4e55-8e36-dd4fb69ece28,Plaza Salon,10900 NE 8th St,Bellevue,WA,98004-4400,47.61800003051758,-122.19400024414062,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Plaza,62405730-375a-4373-aeeb-3fa2ce37cf6a,Total Looks by Chantal Salon Boutique is located in the Plaza Salon,10900 NE 8th St,Bellevue,WA,98004,47.6179084777832,-122.19403076171875,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Village,8d6986fe-20cd-42fc-99ae-99e736888d86,Norwood Village Park,12309 SE 23rd Pl,Bellevue,WA,98005,47.58993148803711,-122.17327880859375,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
Retail Village,9fff8369-9bd9-4702-b0f9-1faa60cf8f8e,Norwood Village Park Pickleball and Tennis Courts,2340 123rd Pl SE,Bellevue,WA,98005-4193,47.589847564697266,-122.17396545410156,Overture Places 2026-07-22.0,2026-07-22,open,exclude,brand_false_positive
