brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
H&R Block,31652f28-12f4-49b9-8d4c-8d57d4478188,H&R Block,5200 Kanan Rd,Agoura Hills,CA,91301-3322,34.14794921875,-118.76008605957031,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,c2955f0e-41b1-4b30-9f8b-b58a37961fbf,H&R Block,2327 Blanding Ave,Alameda,CA,94501-1477,37.771217346191406,-122.23807525634766,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,f762afe7-1b76-46ad-9245-cfcfd832bd32,H&R Block,Marina Village 2020 Challenger Dr,Alameda,CA,94501-1037,37.7833137512207,-122.27444458007812,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,9ddea64b-c3ad-42ca-b651-8f32f6e650af,H&R Block,349 E Main St,Alhambra,CA,91801-7909,34.09833908081055,-118.1231918334961,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,588673b2-d8c1-4300-9f6e-36a8814348ff,H&R Block,945 W Valley Blvd,Alhambra,CA,91803-2429,34.078102111816406,-118.13407897949219,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,e5875457-4e41-4570-ac00-ab1261013be0,H&R Block,1730 Alpine Blvd,Alpine,CA,91901-3876,32.83844757080078,-116.77689361572266,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,2b8eb940-60c4-4918-913c-4fa063cd8b50,H&R Block,6040 Main St,American Canyon,CA,94503-1390,38.18162536621094,-122.25389862060547,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,cc277c73-4a9e-424f-8bc1-11fa1c95cee6,H&R Block,1917 E La Palma Ave,Anaheim,CA,92805-1638,33.847415924072266,-117.89033508300781,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,ef159d5d-8193-43b4-b0a5-8471ef5099e9,H&R Block,2229 Ball Rd,Anaheim,CA,92804-5314,33.818485260009766,-117.96073150634766,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,e60748a1-c995-414b-944f-8645dfa430c4,H&R Block,2274 E Lincoln Ave,Anaheim,CA,92806-4107,33.83805465698242,-117.88461303710938,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,5536103b-06cc-4c92-b45a-76fcb366f642,H&R Block,625 N Euclid St,Anaheim,CA,92801-4621,33.84033966064453,-117.94385528564453,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,ea17a4cc-5cfe-4d39-a38a-f97268602978,H&R Block,Big Lots 6336 E Santa Ana Canyon Rd,Anaheim,CA,92807,33.85677719116211,-117.7706298828125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,d845bccf-575a-4317-8662-679cb00dc94b,H&R Block,2615 Ganyon Dr,Anderson,CA,96007-3675,40.454776763916016,-122.29122161865234,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,9c92bd8d-901f-4bf2-82b5-9e2a405dd7dc,H&R Block,471 S Main St,Angels Camp,CA,95222-9328,38.078041076660156,-120.55122375488281,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,a57861a9-276d-43af-a69b-67f61a4725e7,H&R Block,8027 Watt Ave,Antelope,CA,95843-9100,38.714847564697266,-121.39421081542969,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,8fa17f81-c65b-48bd-8110-4a347cb37b3f,H&R Block,2749 Lone Tree Way,Antioch,CA,94509-4960,37.99501037597656,-121.80647277832031,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,b131439f-a9e0-4650-8c3a-ecd0ad8cb055,H&R Block,20200 US Highway 18,Apple Valley,CA,92307-2928,34.52898025512695,-117.22228240966797,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
H&R Block,88ed67a5-d78d-4278-924a-1d992435dec5,H&R Block,21580 Bear Valley Rd,Apple Valley,CA,92308-7200,34.472843170166016,-117.19298553466797,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
