metro,Seattle-Tacoma-Bellevue WA
total_stores,197

brand,stores
Advance Auto Parts,15
AutoZone,50
NAPA Auto Parts,43
O'Reilly Auto Parts,89

county_geoid,county_name,leader,leader_stores,total_stores,status
53033,King County,O'Reilly Auto Parts,42,91,contested
53053,Pierce County,O'Reilly Auto Parts,25,55,contested
53061,Snohomish County,O'Reilly Auto Parts,22,51,contested

brand,store_id,city,county_name,nearest_brand,nearest_store_id,nearest_city,nearest_county_name,distance_miles
AutoZone,268f104f-4464-459f-9b7a-c36a7eda9ea4,Kirkland,King County,O'Reilly Auto Parts,9fca934e-f648-4dd7-a01b-1ab36960a263,Kirkland,King County,0.01
O'Reilly Auto Parts,9fca934e-f648-4dd7-a01b-1ab36960a263,Kirkland,King County,AutoZone,268f104f-4464-459f-9b7a-c36a7eda9ea4,Kirkland,King County,0.01
O'Reilly Auto Parts,ba2f2529-0747-4923-94de-b117f3d06b6e,Auburn,King County,AutoZone,f5a34476-cc97-401f-b0d1-a72b694e7b29,Auburn,King County,0.05
AutoZone,f5a34476-cc97-401f-b0d1-a72b694e7b29,Auburn,King County,O'Reilly Auto Parts,ba2f2529-0747-4923-94de-b117f3d06b6e,Auburn,King County,0.05
NAPA Auto Parts,3ba252db-41ec-4e12-a4b3-bf2c28358230,Lakewood,Pierce County,AutoZone,bee8134c-93b9-4f17-b381-76d076090052,Lakewood,Pierce County,0.05
AutoZone,bee8134c-93b9-4f17-b381-76d076090052,Lakewood,Pierce County,NAPA Auto Parts,3ba252db-41ec-4e12-a4b3-bf2c28358230,Lakewood,Pierce County,0.05
O'Reilly Auto Parts,ecb27cc7-eb47-49b9-9c28-ade3766ae9be,Edgewood,Pierce County,AutoZone,ee4f9983-05d3-438c-980b-1eac6d47e74e,Edgewood,Pierce County,0.05
AutoZone,ee4f9983-05d3-438c-980b-1eac6d47e74e,Edgewood,Pierce County,O'Reilly Auto Parts,ecb27cc7-eb47-49b9-9c28-ade3766ae9be,Edgewood,Pierce County,0.05
O'Reilly Auto Parts,16ca5b45-3d48-4d9e-b105-f2c2ea20bc4c,Graham,Pierce County,AutoZone,d0de5d89-9398-46b8-a316-917ff8db9c07,Graham,Pierce County,0.06
AutoZone,d0de5d89-9398-46b8-a316-917ff8db9c07,Graham,Pierce County,O'Reilly Auto Parts,16ca5b45-3d48-4d9e-b105-f2c2ea20bc4c,Graham,Pierce County,0.06
O'Reilly Auto Parts,2b8ea240-ea54-4636-92f6-c69d793e76ae,Arlington,Snohomish County,AutoZone,63bb2f00-384c-4865-ac5d-430b4e6bfd0e,Arlington,Snohomish County,0.07
AutoZone,63bb2f00-384c-4865-ac5d-430b4e6bfd0e,Arlington,Snohomish County,O'Reilly Auto Parts,2b8ea240-ea54-4636-92f6-c69d793e76ae,Arlington,Snohomish County,0.07
AutoZone,38cb14a0-99c3-46ed-b395-6128c0b67ad8,Bonney Lake,Pierce County,O'Reilly Auto Parts,d2bdd02f-e21f-4dfd-a1e9-dfb62009ed05,Bonney Lake,Pierce County,0.07
O'Reilly Auto Parts,d2bdd02f-e21f-4dfd-a1e9-dfb62009ed05,Bonney Lake,Pierce County,AutoZone,38cb14a0-99c3-46ed-b395-6128c0b67ad8,Bonney Lake,Pierce County,0.07
