ring,leader,leader_stores,total_stores,status,home_depot_stores,lowes_stores,lowes_share
urban_core,Home Depot,6,7,dominant,6,1,0.143
inner_suburb,Home Depot,31,44,dominant,31,13,0.295
outer_suburb,Home Depot,19,25,dominant,19,6,0.240
exurb,Home Depot,3,3,dominant,3,0,0.000

brand,store_id,city,county_name,ring,distance_from_core_miles
Home Depot,5ad4a937-d081-4623-ada9-c9fb7735dcad,Atlanta,Fulton County,urban_core,2.29
Home Depot,9cac628d-fffb-4b0c-853e-2c52f16f4be1,Atlanta,Fulton County,urban_core,5.36
Home Depot,d5e26341-7e47-44ba-835c-70ea2992ccee,Atlanta,Fulton County,urban_core,6.84
Home Depot,2f0bfeb1-3636-4b9d-b9cf-53ef948b0383,Atlanta,Fulton County,urban_core,7.03
Home Depot,75e08845-7c50-4745-ba3b-b8095438b8c2,Decatur,DeKalb County,urban_core,8.14
Lowe's,63a3389c-d348-4d85-950e-5e2c47cdabb9,East Point,Fulton County,urban_core,9.29
Home Depot,e2877a0c-da49-44ef-807e-03b2517b6a0f,Atlanta,Cobb County,urban_core,9.32
Lowe's,d8dfeaeb-2ae4-42be-bb0d-279de317fb33,Chamblee,DeKalb County,inner_suburb,10.25
Home Depot,f148395f-7523-4d30-b169-edce95f1c2a7,Decatur,DeKalb County,inner_suburb,10.36
Lowe's,b118ba6b-fc3b-490d-9573-51287192360e,Sandy Springs,Fulton County,inner_suburb,11.63
Home Depot,1624281d-ca84-4efc-97b5-62167c34cf64,Decatur,DeKalb County,inner_suburb,12.08
Home Depot,f02d19c6-6784-4154-81b3-ba5bb7077e3e,Ellenwood,DeKalb County,inner_suburb,12.59
Home Depot,fffe98e9-d544-4ee2-b4b8-f08c4a0b663b,Sandy Springs,Fulton County,inner_suburb,12.62
Lowe's,14b0a96b-a7e1-4ddb-9381-e51e89db4f1c,Morrow,Clayton County,inner_suburb,12.90
