review_status,rows
needs_review,10
packet_ready,1259

review_reason,rows
missing_required_field,10
primary_store_candidate,1259

total_stores,1259

brand,stores
Burger King,266
McDonald's,449
Taco Bell,255
Wendy's,289

city,state,leader,leader_stores,total_stores,status
Acworth,GA,McDonald's,5,10,contested
Adairsville,GA,Burger King,1,4,contested
Adel,GA,Burger King,1,4,contested
Albany,GA,Burger King,6,19,contested
Alma,GA,McDonald's,1,1,dominant
Alpharetta,GA,McDonald's,7,20,contested
Americus,GA,McDonald's,2,5,contested
Ashburn,GA,Burger King,1,2,contested
Athens,GA,McDonald's,7,19,contested
Atlanta,GA,Wendy's,19,55,contested
Auburn,GA,McDonald's,1,1,dominant
Augusta,GA,McDonald's,13,30,contested
Austell,GA,McDonald's,2,4,contested
Bainbridge,GA,McDonald's,1,3,contested
Barnesville,GA,McDonald's,1,2,contested
Baxley,GA,Burger King,1,3,contested
Bethlehem,GA,McDonald's,1,3,contested
Blackshear,GA,Burger King,1,2,contested
Blairsville,GA,McDonald's,1,2,contested
Blakely,GA,McDonald's,1,1,dominant
Blue Ridge,GA,Burger King,1,4,contested
Bogart,GA,Burger King,1,1,dominant
Bonaire,GA,McDonald's,1,2,contested
Bowdon,GA,Wendy's,1,1,dominant
Braselton,GA,McDonald's,1,3,contested
Bremen,GA,McDonald's,1,2,contested
Brookhaven,GA,McDonald's,3,4,dominant
Brunswick,GA,McDonald's,5,9,dominant
Buford,GA,Taco Bell,5,12,contested
Byron,GA,Burger King,1,4,contested
Cairo,GA,Burger King,1,3,contested
Calhoun,GA,Taco Bell,3,10,contested
Camilla,GA,McDonald's,1,1,dominant
Canton,GA,McDonald's,6,15,contested
Carnesville,GA,Wendy's,1,1,dominant
Carrollton,GA,McDonald's,4,11,contested
Cartersville,GA,McDonald's,6,19,contested
Cedartown,GA,McDonald's,2,5,contested
Chamblee,GA,McDonald's,1,2,contested
Chatsworth,GA,Burger King,1,4,contested
Chickamauga,GA,McDonald's,1,3,contested
Clarkesville,GA,McDonald's,1,3,contested
Claxton,GA,McDonald's,1,2,contested
Clayton,GA,Burger King,1,3,contested
Cleveland,GA,Burger King,1,4,contested
Cochran,GA,McDonald's,1,2,contested
College Park,GA,Burger King,1,3,contested
Colquitt,GA,Burger King,1,1,dominant
Columbus,GA,Burger King,10,31,contested
Commerce,GA,Burger King,1,4,contested
Conyers,GA,Burger King,3,12,contested
Cordele,GA,Burger King,1,4,contested
Cornelia,GA,Burger King,1,4,contested
Covington,GA,McDonald's,5,13,contested
Cumming,GA,McDonald's,7,18,contested
Dacula,GA,McDonald's,3,8,contested
Dahlonega,GA,McDonald's,1,3,contested
Dallas,GA,McDonald's,3,9,contested
Dalton,GA,McDonald's,5,15,contested
Danielsville,GA,Burger King,1,1,dominant
Darien,GA,Burger King,1,2,contested
Dawson,GA,McDonald's,1,2,contested
Dawsonville,GA,McDonald's,2,5,contested
Decatur,GA,McDonald's,7,19,contested
Donalsonville,GA,Burger King,1,1,dominant
Doraville,GA,Burger King,2,3,dominant
Douglas,GA,Burger King,2,5,contested
Douglasville,GA,Taco Bell,5,12,contested
Dublin,GA,Burger King,2,7,contested
Duluth,GA,McDonald's,4,11,contested
Dunwoody,GA,McDonald's,2,3,dominant
East Dublin,GA,McDonald's,1,1,dominant
East Ellijay,GA,Burger King,1,2,contested
East Point,GA,McDonald's,3,6,contested
Eastman,GA,Burger King,1,2,contested
Eatonton,GA,McDonald's,2,3,dominant
Elberton,GA,Burger King,1,4,contested
Ellenwood,GA,McDonald's,2,6,contested
Ellijay,GA,Taco Bell,1,2,contested
Emerson,GA,McDonald's,1,1,dominant
Evans,GA,McDonald's,2,5,contested
FORT GORDON,GA,Burger King,1,1,dominant
Fairburn,GA,McDonald's,2,5,contested
Fayetteville,GA,McDonald's,2,6,contested
Fitzgerald,GA,Burger King,1,3,contested
Flowery Branch,GA,McDonald's,3,6,contested
Folkston,GA,Burger King,1,2,contested
Forest Park,GA,McDonald's,2,5,contested
Forsyth,GA,Burger King,1,4,contested
Fort Gordon,GA,Taco Bell,1,1,dominant
Fort Moore,GA,Burger King,1,1,dominant
Fort Oglethorpe,GA,Wendy's,2,5,contested
Fort Stewart,GA,Burger King,1,1,dominant
Fort Valley,GA,Burger King,1,4,contested
Gainesville,GA,McDonald's,5,14,contested
Garden City,GA,Burger King,1,2,contested
Glennville,GA,McDonald's,1,1,dominant
Gray,GA,McDonald's,1,1,dominant
Grayson,GA,Burger King,1,3,contested
Greensboro,GA,Burger King,2,5,contested
Griffin,GA,McDonald's,3,9,contested
Grovetown,GA,McDonald's,2,3,dominant
Hahira,GA,Wendy's,1,1,dominant
Hampton,GA,Wendy's,2,3,dominant
Hapeville,GA,Wendy's,2,3,dominant
Hartwell,GA,Burger King,1,4,contested
Hawkinsville,GA,McDonald's,1,1,dominant
Hazlehurst,GA,Burger King,1,2,contested
Helen,GA,Wendy's,1,1,dominant
Hephzibah,GA,Taco Bell,1,1,dominant
Hiawassee,GA,McDonald's,1,2,contested
Hinesville,GA,McDonald's,3,6,contested
Hiram,GA,Burger King,1,4,contested
Hogansville,GA,Burger King,1,3,contested
Holly Springs,GA,Taco Bell,1,1,dominant
Hoschton,GA,Burger King,2,4,contested
Jackson,GA,Burger King,2,6,contested
Jasper,GA,Burger King,1,4,contested
Jefferson,GA,Taco Bell,2,5,contested
Jesup,GA,Burger King,1,4,contested
Jonesboro,GA,McDonald's,3,7,contested
Kennesaw,GA,McDonald's,4,13,contested
Kings Bay,GA,McDonald's,1,1,dominant
Kingsland,GA,Wendy's,2,5,contested
La Fayette,GA,McDonald's,1,3,contested
LaGrange,GA,Burger King,3,3,dominant
Lagrange,GA,McDonald's,4,9,contested
Lake City,GA,Burger King,1,2,contested
Lake Park,GA,McDonald's,1,3,contested
Lakeland,GA,McDonald's,1,1,dominant
Lavonia,GA,Burger King,1,3,contested
Lawrenceville,GA,McDonald's,9,23,contested
Leesburg,GA,McDonald's,1,1,dominant
Lexington,GA,Burger King,1,1,dominant
