region,field_id,label,anchor_field,gas_convenience_rows,gas_convenience_brands,gas_convenience_brand_list,gas_convenience_names,gas_convenience_signal
washington,bellevue-core,Bellevue core mall field,eastside_urban_mall_field,1,1,7-Eleven,7-Eleven,single_gas_convenience_anchor
washington,factoria,Bellevue Factoria field,eastside_power_center_mall_edge,3,3,76; Chevron; Circle K,76; Chevron; Circle K,gas_convenience_service_node
washington,kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,8,5,76; ARCO; BP; Exxon; ampm,76; 76; ARCO; BP; Mobil; ROCKET 5522; ROCKET 5523; ampm,multi_brand_car_trip_corridor
washington,south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,6,4,ARCO; BP; Chevron; Shell,ARCO; BP; Chevron; Chevron; Shell; Shell,multi_brand_car_trip_corridor
washington,southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,6,5,7-Eleven; ARCO; BP; Chevron; ampm,7-Eleven; ARCO; BP; Chevron; Chevron; ampm,multi_brand_car_trip_corridor
washington,tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,1,1,Shell,Shell,single_gas_convenience_anchor
atlanta,buckhead-lenox-phipps,Buckhead / Lenox / Phipps field,urban_luxury_mall_cluster,6,5,ARCO; BP; Chevron; Shell; ampm,ARCO; BP; BP; Chevron; Shell; ampm,multi_brand_car_trip_corridor
atlanta,camp-creek,Camp Creek field,airport_edge_power_center,4,3,BP; RaceTrac; Texaco,BP; Camp Creek; Texaco; Texaco,gas_convenience_service_node
atlanta,cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,20,8,BP; Chevron; Marathon; QuikTrip; RaceTrac; Shell; Texaco; ampm,BP; BP; BP; Chevron; Chevron; Chevron; JP COBB PARKWAY; Marathon; QuikTrip; QuikTrip; QuikTrip; RaceTrac; Shell; Shell; Shell; Spring Rd; Texaco; ampm; ampm; ampm,dense_multi_brand_car_trip_grid
atlanta,decatur-emory,Decatur / Emory field,inner_service_village,2,2,Shell; Texaco,Shell; Texaco,single_gas_convenience_anchor
