place_id,label,city,state,place_context,home_depot,lowes,autozone,napa,oreilly,advance_auto,mcdonalds,burger_king,taco_bell,wendys,present_store_type_count,repeated_store_type_count,observed_zero_store_type_count,source_pending_store_type_count,home_improvement_brands_present,auto_parts_brands_present,qsr_brands_present,capacity_profile_hint,evidence_summary
seattle,Seattle WA,Seattle,WA,puget_sound_core,2+,2+,2+,2+,2+,2+,2+,2+,2+,2+,10,10,0,0,2,4,4,complete_daily_life_node,dual home-improvement anchor present; all four QSR brands present; three-plus auto-parts brands present
tacoma,Tacoma WA,Tacoma,WA,puget_sound_core,2+,1,2+,2+,2+,1,2+,2+,2+,2+,10,8,0,0,2,4,4,complete_daily_life_node,dual home-improvement anchor present; all four QSR brands present; three-plus auto-parts brands present
bellevue,Bellevue WA,Bellevue,WA,puget_sound_core,1,0,1,1,2+,0,2+,2+,1,1,8,3,2,0,1,3,4,partial_anchor_qsr_node,single home-improvement anchor present; all four QSR brands present; three-plus auto-parts brands present
bainbridge-island,Bainbridge Island WA,Bainbridge Island,WA,ferry_side_place,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,1,thin_direct_store_layer,no direct home-improvement anchor row; single QSR brand present; no direct auto-parts row
kingston,Kingston WA,Kingston,WA,ferry_side_place,0,0,0,2+,0,0,1,0,0,0,2,1,8,0,0,1,1,thin_direct_store_layer,no direct home-improvement anchor row; single QSR brand present; 1 auto-parts brands present
bremerton,Bremerton WA,Bremerton,WA,ferry_side_place,0,0,2+,2+,2+,0,2+,2+,2+,2+,7,7,3,0,0,3,4,service_without_big_box_anchor,no direct home-improvement anchor row; all four QSR brands present; three-plus auto-parts brands present
silverdale,Silverdale WA,Silverdale,WA,kitsap_service_node,1,1,0,2+,1,0,2+,1,2+,1,8,3,2,0,2,2,4,complete_daily_life_node,dual home-improvement anchor present; all four QSR brands present; 2 auto-parts brands present
poulsbo,Poulsbo WA,Poulsbo,WA,kitsap_service_node,1,0,0,1,1,0,1,1,1,1,7,0,3,0,1,2,4,partial_anchor_qsr_node,single home-improvement anchor present; all four QSR brands present; 2 auto-parts brands present
port-orchard,Port Orchard WA,Port Orchard,WA,kitsap_service_node,0,1,1,1,1,0,2+,2+,1,1,8,2,2,0,1,3,4,partial_anchor_qsr_node,single home-improvement anchor present; all four QSR brands present; three-plus auto-parts brands present
atlanta,Atlanta GA,Atlanta,GA,atlanta_core,2+,0,source_gate_pending,source_gate_pending,source_gate_pending,source_gate_pending,2+,2+,2+,2+,5,5,1,4,1,0,4,partial_anchor_qsr_node,single home-improvement anchor present; all four QSR brands present; some store types source-gated
marietta,Marietta GA,Marietta,GA,atlanta_suburban_node,2+,1,source_gate_pending,source_gate_pending,source_gate_pending,source_gate_pending,2+,2+,2+,2+,6,5,0,4,2,0,4,complete_daily_life_node,dual home-improvement anchor present; all four QSR brands present; some store types source-gated
alpharetta,Alpharetta GA,Alpharetta,GA,atlanta_suburban_node,1,2+,source_gate_pending,source_gate_pending,source_gate_pending,source_gate_pending,2+,2+,2+,2+,6,5,0,4,2,0,4,complete_daily_life_node,dual home-improvement anchor present; all four QSR brands present; some store types source-gated
sandy-springs,Sandy Springs GA,Sandy Springs,GA,atlanta_suburban_node,1,1,source_gate_pending,source_gate_pending,source_gate_pending,source_gate_pending,2+,0,1,1,5,1,1,4,2,0,3,complete_daily_life_node,dual home-improvement anchor present; 3 QSR brands present; some store types source-gated
roswell,Roswell GA,Roswell,GA,atlanta_suburban_node,2+,0,source_gate_pending,source_gate_pending,source_gate_pending,source_gate_pending,2+,1,2+,1,5,3,1,4,1,0,4,partial_anchor_qsr_node,single home-improvement anchor present; all four QSR brands present; some store types source-gated
decatur,Decatur GA,Decatur,GA,atlanta_inner_node,2+,0,source_gate_pending,source_gate_pending,source_gate_pending,source_gate_pending,2+,2+,2+,2+,5,5,1,4,1,0,4,partial_anchor_qsr_node,single home-improvement anchor present; all four QSR brands present; some store types source-gated
