field_id,label,anchor_field,dimension_id,dimension_group,dimension_label,source_status,profile_role,observed_rows,observed_brands,observed_names,field_context_status,review_note
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,library,civic_anchor,Public library,source_gate_pending,civic_service_anchor,,,"",source_gate_pending,Public library source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,civic_anchor,Park or public open space,source_gate_pending,everyday_public_amenity,,,"",source_gate_pending,Public parks/open-space source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,1,1,Bellevue Post Office,observed,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,transit_center,civic_anchor,Transit center,source_gate_pending,mobility_anchor,,,"",source_gate_pending,Public transit facility source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,bank_credit_union,everyday_anchor,Bank or credit union,source_gate_pending,routine_errand_finance_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,2,2,Bartell Drugs; CVS Pharmacy,observed,Use reviewed drugstore layer as first pharmacy proxy
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,library,civic_anchor,Public library,source_gate_pending,civic_service_anchor,,,"",source_gate_pending,Public library source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,park,civic_anchor,Park or public open space,source_gate_pending,everyday_public_amenity,,,"",source_gate_pending,Public parks/open-space source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,1,1,Post Office,observed,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,transit_center,civic_anchor,Transit center,source_gate_pending,mobility_anchor,,,"",source_gate_pending,Public transit facility source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,bank_credit_union,everyday_anchor,Bank or credit union,source_gate_pending,routine_errand_finance_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
factoria,Bellevue Factoria field,eastside_power_center_mall_edge,pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,0,0,"",observed_absent,Use reviewed drugstore layer as first pharmacy proxy
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,library,civic_anchor,Public library,source_gate_pending,civic_service_anchor,,,"",source_gate_pending,Public library source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,civic_anchor,Park or public open space,source_gate_pending,everyday_public_amenity,,,"",source_gate_pending,Public parks/open-space source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,1,1,Tukwila Post Office,observed,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,transit_center,civic_anchor,Transit center,source_gate_pending,mobility_anchor,,,"",source_gate_pending,Public transit facility source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,bank_credit_union,everyday_anchor,Bank or credit union,source_gate_pending,routine_errand_finance_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,0,0,"",observed_absent,Use reviewed drugstore layer as first pharmacy proxy
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,library,civic_anchor,Public library,source_gate_pending,civic_service_anchor,,,"",source_gate_pending,Public library source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,civic_anchor,Park or public open space,source_gate_pending,everyday_public_amenity,,,"",source_gate_pending,Public parks/open-space source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,0,0,"",observed_absent,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,transit_center,civic_anchor,Transit center,source_gate_pending,mobility_anchor,,,"",source_gate_pending,Public transit facility source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,bank_credit_union,everyday_anchor,Bank or credit union,source_gate_pending,routine_errand_finance_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,0,0,"",observed_absent,Use reviewed drugstore layer as first pharmacy proxy
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,library,civic_anchor,Public library,source_gate_pending,civic_service_anchor,,,"",source_gate_pending,Public library source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,park,civic_anchor,Park or public open space,source_gate_pending,everyday_public_amenity,,,"",source_gate_pending,Public parks/open-space source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,1,1,Silverdale Post Office,observed,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,transit_center,civic_anchor,Transit center,source_gate_pending,mobility_anchor,,,"",source_gate_pending,Public transit facility source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,bank_credit_union,everyday_anchor,Bank or credit union,source_gate_pending,routine_errand_finance_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
kitsap-mall,Kitsap Mall / Silverdale field,kitsap_regional_mall_field,pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,1,1,CVS Pharmacy,observed,Use reviewed drugstore layer as first pharmacy proxy
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,library,civic_anchor,Public library,source_gate_pending,civic_service_anchor,,,"",source_gate_pending,Public library source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,park,civic_anchor,Park or public open space,source_gate_pending,everyday_public_amenity,,,"",source_gate_pending,Public parks/open-space source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,post_office,civic_anchor,Post office,active_reviewed_civic_layer,postal_identity_anchor,0,0,"",observed_absent,Use reviewed OSM/Overpass post-office layer as first postal civic proxy
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,transit_center,civic_anchor,Transit center,source_gate_pending,mobility_anchor,,,"",source_gate_pending,Public transit facility source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,bank_credit_union,everyday_anchor,Bank or credit union,source_gate_pending,routine_errand_finance_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,dollar_store,everyday_anchor,Dollar store,source_gate_pending,value_errand_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gas_convenience,everyday_anchor,Gas or convenience store,source_gate_pending,routine_trip_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,gym,everyday_anchor,Gym or fitness center,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,hardware,everyday_anchor,Hardware store,source_gate_pending,small_trade_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,laundromat,everyday_anchor,Laundromat,source_gate_pending,routine_service_anchor,,,"",source_gate_pending,Reviewed POI source needed before counting rows
south-hill-puyallup,South Hill / Puyallup field,pierce_suburban_mall_field,pharmacy,everyday_anchor,Pharmacy,active_reviewed_store_layer,routine_health_errand_anchor,1,1,CVS Pharmacy,observed,Use reviewed drugstore layer as first pharmacy proxy
