target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ak-savoonga-28e6d58a5b,Savoonga,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-nikiski-715ab2cb27,Nikiski,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-nome-957c64f1f5,Nome,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-north-tongass-ward-cove-7bf0ffd1e9,North Tongass Ward Cove,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-homer-c28298bbbd,Homer,laundromat,observed,2,Red Door Laundry; Washboard,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-postal-service-33114dbd26,Postal Service,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-galena-3802346ef8,Galena,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-willow-6c7dbde30c,Willow,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-clam-gulch-e69b030ff3,Clam Gulch,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-postal-service-ed9cb8ff5d,Postal Service,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
