target_id,primary_city,state,postal_code_hint,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_note,census_geography_level,census_geoid,census_name,census_population
national-post-office-ak-savoonga-28e6d58a5b,Savoonga,AK,,under_2500,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0267460,Savoonga city,835
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park,AK,,under_2500,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0206818765,Denali census subarea,1619
national-post-office-ak-nikiski-715ab2cb27,Nikiski,AK,,50000_plus,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0212238460,Kenai-Cook Inlet census subarea,52885
national-post-office-ak-nome-957c64f1f5,Nome,AK,,2500_to_9999,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0254920,Nome city,3699
national-post-office-ak-north-tongass-ward-cove-7bf0ffd1e9,North Tongass Ward Cove,AK,,10000_to_49999,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0213039010,Ketchikan census subarea,13948
national-post-office-ak-homer-c28298bbbd,Homer,AK,,2500_to_9999,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0233140,Homer city,5522
national-post-office-ak-postal-service-33114dbd26,Postal Service,AK,,under_2500,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0216442780,Lake and Peninsula census subarea,1476
national-post-office-ak-galena-3802346ef8,Galena,AK,,under_2500,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0227530,Galena city,472
national-post-office-ak-willow-6c7dbde30c,Willow,AK,,50000_plus,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0217047440,Matanuska-Susitna census subarea,107081
national-post-office-ak-clam-gulch-e69b030ff3,Clam Gulch,AK,,50000_plus,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,0212238460,Kenai-Cook Inlet census subarea,52885
national-post-office-ak-postal-service-ed9cb8ff5d,Postal Service,AK,,2500_to_9999,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0280770,Unalaska city,4254
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station,AK,,10000_to_49999,Census 2020 PL Alaska geography file akgeo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0224230,Fairbanks city,32515
