evidence_item,source_name,source_url,source_date,observed_name,observed_address,latitude,longitude,inside_amistad_target_box,evidence_role,dossier_gate,review_note
current_postal_anchor,USPS locator,https://tools.usps.com/find-location.htm?location=1352983&utm_campaign=yext&utm_medium=search&utm_source=website-url,2026-08-16,Amistad Post Office,21 Amistad Rd Amistad NM 88410,35.918871327223,-103.159282574128,yes,confirms_postal_anchor,current_anchor_confirmed,Official locator record lists Amistad Post Office with current hour fields; Census geocoder places the address inside the sampled target box.
current_postal_anchor_corrob,Mailbox Locate public listing,https://mailboxlocate.com/offices/1352983-amistad/,2026-08-16,Amistad Post Office,21 Amistad Rd Amistad NM 88410,35.918871327223,-103.159282574128,yes,corroborates_postal_anchor,current_anchor_corrob,Third-party postal listing corroborates the same address and phone; use only as supporting evidence behind the USPS locator.
current_postal_anchor_corrob,Postallocations public listing,https://www.postallocations.com/nm/amistad/amistad,2026-08-16,Amistad Post Office,21 Amistad Rd Amistad NM 88410,35.918871327223,-103.159282574128,yes,corroborates_postal_anchor,current_anchor_corrob,Third-party postal listing corroborates the same Amistad Road address and retail-hour pattern; use only as supporting evidence behind the USPS locator.
inside_box_civic,YellowPages Amistad directory,https://www.yellowpages.com/amistad-nm,2026-08-16,Amistad Fire Department,34 Amistad Rd Amistad NM 88410,35.918774735607,-103.155107664812,yes,inside_box_civic_not_everyday_service,inside_box_civic_only,"Fire department geocodes inside the target box but is civic evidence, not food grocery consumer gas convenience hardware laundromat or trade-service evidence."
inside_box_civic_corrob,Fire department public listing,https://www.firedepartment.net/directory/new-mexico/union-county/amistad/amistad-volunteer-fire-department,2026-08-16,Amistad Volunteer Fire Department,34 Amistad Rd Amistad NM 88410,35.918774735607,-103.155107664812,yes,inside_box_civic_not_everyday_service,inside_box_civic_only,Fire department directory corroborates the same inside-box civic address; it does not create counted everyday-service evidence.
nearby_outside_water_service,YellowPages Amistad directory,https://www.yellowpages.com/amistad-nm,2026-08-16,McDaniel Water,365 Ricketson Rd Amistad NM 88410,35.971475769855,-103.142398731572,no,nearby_outside_trade_service,nearby_trade_service_constraint,Water-service listing geocodes north of the sampled Amistad target box; carry as outside-box trade/service context only.
nearby_outside_water_service_corrob,McDaniel Water public listing,https://www.manta.com/c/mk2k4pv/mcdaniel-water,2026-08-16,McDaniel Water,365 Ricketson Rd Amistad NM 88410,35.971475769855,-103.142398731572,no,nearby_outside_trade_service,nearby_trade_service_constraint,Public business listing corroborates McDaniel Water at the same Ricketson Road address north of the sampled target box.
nearby_outside_ag_trade_service,YellowPages Amistad directory,https://www.yellowpages.com/amistad-nm,2026-08-16,Amistad Land and Cattle,27 Soggy Rd Amistad NM 88410,35.911160523253,-103.107190948484,no,nearby_outside_trade_service,nearby_trade_service_constraint,Ag/trade listing geocodes just east of the sampled Amistad target box; carry as outside-box trade/service context only.
nearby_outside_ag_trade_service_corrob,Amistad Land and Cattle public listing,https://www.manta.com/c/mk2k4pz/amistad-land-cattle,2026-08-16,Amistad Land and Cattle,27 Soggy Rd Amistad NM 88410,35.911160523253,-103.107190948484,no,nearby_outside_trade_service,nearby_trade_service_constraint,Public business listing corroborates Amistad Land and Cattle at the same Soggy Road address just east of the sampled target box.
settlement_identity,public place summary,https://en.wikipedia.org/wiki/Amistad%2C_New_Mexico,2026-08-16,Amistad,Amistad NM 88410,,,yes,corroborates_settlement_identity,settlement_identity_present,Public place summary identifies Amistad as an unincorporated Union County community with ZIP code 88410 and a post office.
