target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-sonora-e095478671,Sonora,hardware,observed,2,Harbor Freight Tools; Lowe's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-forestville-76b2d0fdbd,Forestville,hardware,observed,1,Ideal Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-soledad-2a4f7e829e,Soledad,hardware,observed,2,Soledad Hardware & Lbr Inc; Soledad True Value Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro,hardware,observed,2,Outdoor Supply Hardware; Sayfee's Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-big-pine-c6a6b457b7,Big Pine,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-postalannex-3d05afd908,PostalAnnex,hardware,observed,7,Ace Hardware; Bruce Bauer Lumber & Supply; Kwik Key; Los Altos Hardware; Meyer Appliances; True Value; Yardbird Equipment,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-pioneer-496558d781,Pioneer,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-crescent-mills-a3611132f6,Crescent Mills,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-san-joaquin-25318cc47c,San Joaquin,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-diablo-b33cebdca3,Diablo,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-angwin-f00965e642,Angwin,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-copperopolis-299815fb9d,Copperopolis,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
