target_id,primary_city,settlement_size_proxy,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,minimum_stack_class,candidate_next_action,claim_boundary
national-post-office-ca-sonora-e095478671,Sonora,2500_to_9999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-forestville-76b2d0fdbd,Forestville,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-soledad-2a4f7e829e,Soledad,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro,50000_plus,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-big-pine-c6a6b457b7,Big Pine,2500_to_9999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-postalannex-3d05afd908,PostalAnnex,50000_plus,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-pioneer-496558d781,Pioneer,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-crescent-mills-a3611132f6,Crescent Mills,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-san-joaquin-25318cc47c,San Joaquin,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-diablo-b33cebdca3,Diablo,50000_plus,observed,observed,checked_absent,checked_absent,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-angwin-f00965e642,Angwin,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ca-copperopolis-299815fb9d,Copperopolis,10000_to_49999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
