target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-tujunga-6a01a6e0d9,Tujunga,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-irwindale-f2c2708bcd,Irwindale,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-hollydale-station-south-gate-74d65c41e8,Hollydale Station South Gate,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-santa-ana-p-dc-eb0135816c,Santa Ana P&DC,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-federal-station-anaheim-d17bb4039c,Federal Station Anaheim,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-vista-del-mar-station-san-clemente-cbc875bcc8,Vista Del Mar Station San Clemente,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-indio-california-49cce5103f,"Indio, California",dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-plaza-station-orange-8f98e5dd32,Plaza Station Orange,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-cerritos-b95822128c,Cerritos,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-victory-center-station-north-hollywood-ac9c0c8c07,Victory Center Station North Hollywood,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-brea-9b0f8ac2e0,Brea,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-east-long-beach-station-long-beach-5907f23385,East Long Beach Station Long Beach,dollar_store,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
