target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-tujunga-6a01a6e0d9,Tujunga,hardware,observed,4,Ace Hardware; Do It Yourself Home Center; Harbor Freight Tools; Sunland Hydroponics,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-irwindale-f2c2708bcd,Irwindale,hardware,observed,3,Lowe's; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-hollydale-station-south-gate-74d65c41e8,Hollydale Station South Gate,hardware,observed,2,The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-santa-ana-p-dc-eb0135816c,Santa Ana P&DC,hardware,observed,4,ABC Wholesale Roofing Supply; Harbor Freight Tools; Santa Ana Industrial Hardware; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-federal-station-anaheim-d17bb4039c,Federal Station Anaheim,hardware,observed,6,Ganahl Lumber; Harbor Freight Tools; Lowe's; The Home Depot; Vista Paint,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-vista-del-mar-station-san-clemente-cbc875bcc8,Vista Del Mar Station San Clemente,hardware,observed,2,Denaults TrueValue Hardware; Lowe's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-indio-california-49cce5103f,"Indio, California",hardware,observed,3,Air and Hose Source; Harbor Freight Tools; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-plaza-station-orange-8f98e5dd32,Plaza Station Orange,hardware,observed,7,"Ace Hardware; Ganahl Lumber; Harbor Freight Tools; Rockler Woodworking and Hardware; Seib Construction, Inc; The Home Depot",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-cerritos-b95822128c,Cerritos,hardware,observed,3,Harbor Freight; Harbor Freight Tools; Lowe's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-victory-center-station-north-hollywood-ac9c0c8c07,Victory Center Station North Hollywood,hardware,observed,5,Anawalt Lumber; Best West Fasteners; Haytech Inc TV Mounting; Mark's Paint; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-brea-9b0f8ac2e0,Brea,hardware,observed,2,The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-east-long-beach-station-long-beach-5907f23385,East Long Beach Station Long Beach,hardware,observed,13,Ace Hardware; Anderson Paint and Hardware; Billings Paint & Hardware; Coastal Windows & Doors; Harbor Freight Tools; Hirsch Pipe & Supply; Long Beach Hydroponics; Lowe's; Pacific Cabinets; Peterson's; Quality Screens; The Home Depot,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
