target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ca-tujunga-6a01a6e0d9,Tujunga,laundromat,observed,2,1 Stop Cleaners; Ed’s Dry Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-irwindale-f2c2708bcd,Irwindale,laundromat,observed,5,Launderland; Laundry Love; Lucy's Laundromat; Mc Daniel's Cleaners; Sparklean Laundrymat,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-hollydale-station-south-gate-74d65c41e8,Hollydale Station South Gate,laundromat,observed,4,Cleaners; Laundry; Liberty Laundry Laundromat; Vermonica Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-santa-ana-p-dc-eb0135816c,Santa Ana P&DC,laundromat,observed,10,5 Star Cleaners; Accent Cleaners; Best Coin Laundry; Coin Laundry; Executive Cleaners; Harbor Cleaners; Lucy’s Laundry; Master Touch Cleaners; Metro Cleaners; PWS laundromat,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-federal-station-anaheim-d17bb4039c,Federal Station Anaheim,laundromat,observed,9,#1 Cleaners; Big A Coin Laundry; Clenet Cleaners; Guest Laundry; MA's Coin Laundry; OXI Wash,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-vista-del-mar-station-san-clemente-cbc875bcc8,Vista Del Mar Station San Clemente,laundromat,observed,10,Bonded Cleaners & Laundry; CleanRite Laundry and Laundromat; Coined Laundry; K & S Cleaners; Laundry Basket; Ocean's Cleaners; Presido Dry Cleaners; San Clemente Natural Line Cleaners; Silver Dry Cleaners; Victoria Coin Laundry,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-indio-california-49cce5103f,"Indio, California",laundromat,observed,2,Dino Wash; ballys cleaner,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-plaza-station-orange-8f98e5dd32,Plaza Station Orange,laundromat,observed,6,Collars & Cuffs; Danny's Cleaners #2; Laundry Club; Mr. Best Cleaners; North Bristol Coin Laundry; Orange Villa Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-cerritos-b95822128c,Cerritos,laundromat,observed,1,NS Cleaners & Alterations,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-victory-center-station-north-hollywood-ac9c0c8c07,Victory Center Station North Hollywood,laundromat,observed,9,Aviva Cleaners; Coin Laundry; Murre Cleaners; Norge Cleaners; Pops Chicken; Ritz Cleaners; Valley View Laundry; Valley Village Laundromat,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-brea-9b0f8ac2e0,Brea,laundromat,observed,3,La Habra Wash & Fold; Quick'n Clean Laundry; Wash N' Dry,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ca-east-long-beach-station-long-beach-5907f23385,East Long Beach Station Long Beach,laundromat,observed,28,4th & Temple Laundromat; Bon's Dry Cleaners; CNJ Happy Laundry; Coin Laundry; Continental Cleaners; Crystal Cleaners; Easy Wash Laundromat; Foasberg Cleaners; J's Cleaners; L& B#2 Coin Laundry-water; Launderland Coin Laundry; Launderland Coin-op Laundry; Laundromat; Laundry Guys; Long Beach Finest Cleaners; Los Altos Cleaners; Lucky Coin Laundry; Modern Laundry; Naples Laundromat; National Cleaners and Laundry; Norge Cleaners; Paris Tailor & Cleaner; Quality Cleaners; Roxies Cleaners; Speed Queen Laundry; Speed Wash; Village Valet Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
