target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy
national-post-office-ca-tujunga-6a01a6e0d9,Tujunga post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Tujunga,post_office_point_probe,,34.2165,34.2865,-118.3362,-118.2462,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:358826252,Tujunga Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-irwindale-f2c2708bcd,Irwindale post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Irwindale,post_office_point_probe,,34.0706,34.1406,-117.9784,-117.8884,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:470583473,Irwindale Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-hollydale-station-south-gate-74d65c41e8,Hollydale Station South Gate post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Hollydale Station South Gate,post_office_point_probe,,33.8811,33.9511,-118.2142,-118.1242,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:358825930,Hollydale Station South Gate Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-santa-ana-p-dc-eb0135816c,Santa Ana P&DC post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Santa Ana P&DC,post_office_point_probe,,33.6613,33.7313,-117.9582,-117.8682,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:13964266462,Santa Ana P&DC Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-federal-station-anaheim-d17bb4039c,Federal Station Anaheim post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Federal Station Anaheim,post_office_point_probe,,33.7978,33.8678,-117.9617,-117.8717,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:483370365,Federal Station Anaheim Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-vista-del-mar-station-san-clemente-cbc875bcc8,Vista Del Mar Station San Clemente post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Vista Del Mar Station San Clemente,post_office_point_probe,,33.3906,33.4606,-117.6602,-117.5702,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:401114332,Vista Del Mar Station San Clemente Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-indio-california-49cce5103f,"Indio, California post-office-centered national sample candidate",national_post_office_sample_candidate,CA,"Indio, California",post_office_point_probe,,33.6808,33.7508,-116.2623,-116.1723,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:147176421,"United States Post Office - Indio, California",Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-plaza-station-orange-8f98e5dd32,Plaza Station Orange post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Plaza Station Orange,post_office_point_probe,,33.7526,33.8226,-117.9005,-117.8105,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:176412236,Plaza Station Orange Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-cerritos-b95822128c,Cerritos post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Cerritos,post_office_point_probe,,33.8315,33.9015,-118.0907,-118.0007,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:450014686,Cerritos Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-victory-center-station-north-hollywood-ac9c0c8c07,Victory Center Station North Hollywood post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Victory Center Station North Hollywood,post_office_point_probe,,34.1545,34.2245,-118.4331,-118.3431,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:429583019,Victory Center Station North Hollywood Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-brea-9b0f8ac2e0,Brea post-office-centered national sample candidate,national_post_office_sample_candidate,CA,Brea,post_office_point_probe,,33.8823,33.9523,-117.9356,-117.8456,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:107395190,Brea Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
national-post-office-ca-east-long-beach-station-long-beach-5907f23385,East Long Beach Station Long Beach post-office-centered national sample candidate,national_post_office_sample_candidate,CA,East Long Beach Station Long Beach,post_office_point_probe,,33.7478,33.8178,-118.2041,-118.1141,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:358852657,East Long Beach Station Long Beach Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T01:28:21Z,CA,not_joined
