target_id,primary_city,state,postal_code_hint,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_note,census_geography_level,census_geoid,census_name,census_population
national-post-office-ca-tujunga-6a01a6e0d9,Tujunga,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0644000,Los Angeles city,3898747
national-post-office-ca-irwindale-f2c2708bcd,Irwindale,CA,,under_2500,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0636826,Irwindale city,1472
national-post-office-ca-hollydale-station-south-gate-74d65c41e8,Hollydale Station South Gate,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0673080,South Gate city,92726
national-post-office-ca-santa-ana-p-dc-eb0135816c,Santa Ana P&DC,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0669000,Santa Ana city,310227
national-post-office-ca-federal-station-anaheim-d17bb4039c,Federal Station Anaheim,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0602000,Anaheim city,346824
national-post-office-ca-vista-del-mar-station-san-clemente-cbc875bcc8,Vista Del Mar Station San Clemente,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0665084,San Clemente city,64293
national-post-office-ca-indio-california-49cce5103f,"Indio, California",CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0636448,Indio city,89137
national-post-office-ca-plaza-station-orange-8f98e5dd32,Plaza Station Orange,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0653980,Orange city,139911
national-post-office-ca-cerritos-b95822128c,Cerritos,CA,,10000_to_49999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0612552,Cerritos city,49578
national-post-office-ca-victory-center-station-north-hollywood-ac9c0c8c07,Victory Center Station North Hollywood,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0644000,Los Angeles city,3898747
national-post-office-ca-brea-9b0f8ac2e0,Brea,CA,,10000_to_49999,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0608100,Brea city,47325
national-post-office-ca-east-long-beach-station-long-beach-5907f23385,East Long Beach Station Long Beach,CA,,50000_plus,Census 2020 PL California geography file cageo2020.pl,2021-08-12,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,Incorporated Places,0643000,Long Beach city,466742
