target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note
ga-second-pilot-ball-ground,Ball Ground second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Ball Ground,city_label_probe,,34.2997,34.3697,-84.4302,-84.3402,second_state_pattern_probe,Georgia auto-parts-only sparse chain signal; bounded around existing reviewed auto_parts coordinate signal for post-office verification
ga-second-pilot-cohutta,Cohutta second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Cohutta,city_label_probe,,34.8613,34.9313,-84.9959,-84.9059,second_state_pattern_probe,Georgia auto-parts-only sparse chain signal; bounded around existing reviewed auto_parts coordinate signal for post-office verification
ga-second-pilot-greenville,Greenville second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Greenville,city_label_probe,,32.9940,33.0640,-84.7558,-84.6658,second_state_pattern_probe,Georgia auto-parts-only sparse chain signal; bounded around existing reviewed auto_parts coordinate signal for post-office verification
ga-second-pilot-ludowici,Ludowici second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Ludowici,city_label_probe,,31.6784,31.7484,-81.7892,-81.6992,second_state_pattern_probe,Georgia auto-parts-only sparse chain signal; bounded around existing reviewed auto_parts coordinate signal for post-office verification
ga-second-pilot-cuthbert,Cuthbert second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Cuthbert,city_label_probe,,31.7505,31.8205,-84.8266,-84.7366,second_state_pattern_probe,Georgia grocery-only sparse chain signal; bounded around existing reviewed grocery coordinate signal for post-office verification
ga-second-pilot-franklin,Franklin second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Franklin,city_label_probe,,33.2436,33.3136,-85.1428,-85.0528,second_state_pattern_probe,Georgia grocery-only sparse chain signal; bounded around existing reviewed grocery coordinate signal for post-office verification
ga-second-pilot-kathleen,Kathleen second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Kathleen,city_label_probe,,32.5122,32.5822,-83.7371,-83.6471,second_state_pattern_probe,Georgia grocery-only sparse chain signal; bounded around existing reviewed grocery coordinate signal for post-office verification
ga-second-pilot-richland,Richland second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Richland,city_label_probe,,32.0514,32.1214,-84.7185,-84.6285,second_state_pattern_probe,Georgia grocery-only sparse chain signal; bounded around existing reviewed grocery coordinate signal for post-office verification
ga-second-pilot-bogart,Bogart second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Bogart,city_label_probe,,33.8857,33.9557,-83.5612,-83.4712,second_state_pattern_probe,Georgia qsr-only sparse chain signal; bounded around existing reviewed qsr coordinate signal for post-office verification
ga-second-pilot-carnesville,Carnesville second-state minimum postal parish candidate,second_state_minimum_postal_parish_candidate,GA,Carnesville,city_label_probe,,34.3555,34.4255,-83.2721,-83.1821,second_state_pattern_probe,Georgia qsr-only sparse chain signal; bounded around existing reviewed qsr coordinate signal for post-office verification
