target_id,primary_city,settlement_size_proxy,sidecar_status,packet_ready_rows,named_rows,source_gated_rows,observed_names,evidence
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina,50000_plus,observed,66,57,0,3660 On The Rise; Aloha Salad; Assagio Bistro; BBQ Chicken; Ba Le; Bobo Bao; Boston Pizza; Cafe Asia,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo,10000_to_49999,observed,157,148,0,1 Plus 1 Cafe; 5 Spice; Abundant Life Cafe; Aloha Mondays; Aloydee's Thai Cuisine; Antics; Anuenue On the Bay; Arirang Korean Kitchen,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-eleele-decc48678b,Eleele,2500_to_9999,observed,11,11,0,Aaron's Kitchen; Bobbie’s; Fish tacos; Japanese Grandma's Cafe; Kauai Coffee Company Cafe; Kauai Pasta Westside; Little Fish coffee; MCS Grill,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-89c3ba0615,FedEx,50000_plus,observed,816,682,0,1 Plus 1 Drive Inn; 100 Sails; 220 Grille; 3660 On The Rise; 9 Bar Hnl; AAA Local BBQ; ADEZ Steakhouse & Lounge; ASUKE Nabe + Shabu Shabu,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-c4048ca71c,FedEx,10000_to_49999,observed,163,153,0,1 Plus 1 Cafe; 5 Spice; Abundant Life Cafe; Aloha Mondays; Aloydee's Thai Cuisine; Antics; Anuenue On the Bay; Arirang Korean Kitchen,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office,50000_plus,observed,152,122,0,Aloha Coffee & Juice Co; Aloha Sushi; Anna Miller's; Arby's; Auntie Anne's; Bautista's Filipino Kitchen; Big City Diner; Black Angus,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-office-d898801937,FedEx Office,50000_plus,observed,757,634,0,1 Plus 1 Drive Inn; 100 Sails; 9 Bar Hnl; AAA Local BBQ; ADEZ Steakhouse & Lounge; Agu Ramen; Ahi & Vegetable; Aja,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center,50000_plus,observed,108,82,0,Ahi & Vegetable; Aloha K Subs; Best Korean Bbq; Big Kahuna's Pizza 'n Stuffs; Bob's Bar-b-que; Burger King; California Pizza Kitchen; Carls Jr,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station,50000_plus,observed,43,41,0,Assagio’s; Ba Le; Bay Rock Cafe; Bobo Bao; Boston Pizza; Cafe Asia; Chopsticks; Domino's,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-holualoa-792d6ec145,Holualoa,10000_to_49999,observed,52,48,0,Banyan Tree Cafe; Basik Açaí Cafe; Big Island Grill; Bongo Ben's Island Cafe; Da Poke Shack; Daylight Mind Cafe; Denny's; Domino's,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-honaunau-fdd6693c98,Honaunau,2500_to_9999,observed,4,4,0,Big Jake's Island BBQ; Keokis Fish & Chips; Mahina Mele Farm; Menehune Coffee,Named food_service rows from Geofabrik OSM GeoPackage within target box.
national-post-office-hi-honomu-13b4cb3d6c,Honomu,2500_to_9999,observed,3,3,0,Hilo Shark's Coffee; It's Our Specialty; Strato's,Named food_service rows from Geofabrik OSM GeoPackage within target box.
