target_id,primary_city,seed_facility_id,seed_facility_name,semantic_review_status,decision,claim_boundary,review_note
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina,osm:node:3664155704,Aina Haina Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo,osm:node:3254245603,Downtown Hilo Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
national-post-office-hi-eleele-decc48678b,Eleele,osm:node:1157116221,Eleele Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
national-post-office-hi-fedex-89c3ba0615,FedEx,osm:node:5623315421,FedEx,private_shipping_semantic_gate,exclude_from_clean_post_office_denominator_until_current_postal_anchor_review,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name indicates private shipping or carrier retail semantics rather than a clean public post-office anchor.
national-post-office-hi-fedex-c4048ca71c,FedEx,osm:way:836960896,FedEx,private_shipping_semantic_gate,exclude_from_clean_post_office_denominator_until_current_postal_anchor_review,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name indicates private shipping or carrier retail semantics rather than a clean public post-office anchor.
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office,osm:node:9974077530,FedEx Office,private_shipping_semantic_gate,exclude_from_clean_post_office_denominator_until_current_postal_anchor_review,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name indicates private shipping or carrier retail semantics rather than a clean public post-office anchor.
national-post-office-hi-fedex-office-d898801937,FedEx Office,osm:node:9735902848,FedEx Office,private_shipping_semantic_gate,exclude_from_clean_post_office_denominator_until_current_postal_anchor_review,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name indicates private shipping or carrier retail semantics rather than a clean public post-office anchor.
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center,osm:node:3435692146,FedEx Ship Center,private_shipping_semantic_gate,exclude_from_clean_post_office_denominator_until_current_postal_anchor_review,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name indicates private shipping or carrier retail semantics rather than a clean public post-office anchor.
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station,osm:way:232136444,Hawaii Kai Station Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
national-post-office-hi-holualoa-792d6ec145,Holualoa,osm:way:1022906619,Holualoa Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
national-post-office-hi-honaunau-fdd6693c98,Honaunau,osm:way:494310578,Honaunau Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
national-post-office-hi-honomu-13b4cb3d6c,Honomu,osm:way:494137075,Honomu Post Office,postal_anchor_label_candidate,retain_for_sampled_post_office_target_box_method,Seed-label semantics only; not a current USPS anchor confirmation or frequency claim.,Seed name is consistent with a named public post-office or postal station label under the Geofabrik OSM method.
