target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_join_key,settlement_proxy_note
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,HI,Aina Haina,post_office_point_probe,,21.2440,21.3140,-157.7982,-157.7082,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:3664155704,Aina Haina Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,HI,Downtown Hilo,post_office_point_probe,,19.6909,19.7609,-155.1340,-155.0440,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:3254245603,Downtown Hilo Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-eleele-decc48678b,Eleele post-office-centered national sample candidate,national_post_office_sample_candidate,HI,Eleele,post_office_point_probe,,21.8703,21.9403,-159.6305,-159.5405,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:1157116221,Eleele Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,HI,FedEx,post_office_point_probe,,21.2581,21.3281,-157.8865,-157.7965,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:5623315421,FedEx,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,HI,FedEx,post_office_point_probe,,19.6813,19.7513,-155.0965,-155.0065,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:836960896,FedEx,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,HI,FedEx Office,post_office_point_probe,,21.3619,21.4319,-158.0209,-157.9309,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:9974077530,FedEx Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,HI,FedEx Office,post_office_point_probe,,21.2677,21.3377,-157.9031,-157.8131,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:9735902848,FedEx Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,HI,FedEx Ship Center,post_office_point_probe,,21.2816,21.3516,-157.9605,-157.8705,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:3435692146,FedEx Ship Center,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station post-office-centered national sample candidate,national_post_office_sample_candidate,HI,Hawaii Kai Station,post_office_point_probe,,21.2540,21.3240,-157.7472,-157.6572,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:232136444,Hawaii Kai Station Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-hi-holualoa-792d6ec145,Holualoa post-office-centered national sample candidate,national_post_office_sample_candidate,HI,Holualoa,post_office_point_probe,,19.5841,19.6541,-155.9936,-155.9036,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1022906619,Holualoa Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,HI,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
