target_id,primary_city,state,postal_code_hint,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_note,census_geography_level,census_geoid,census_name,census_population
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina,HI,,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500390810,Honolulu CCD,405295
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo,HI,,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500190630,Hilo CCD,46118
national-post-office-hi-eleele-decc48678b,Eleele,HI,,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500790180,Eleele-Kalaheo CCD,9019
national-post-office-hi-fedex-89c3ba0615,FedEx,HI,,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500390810,Honolulu CCD,405295
national-post-office-hi-fedex-c4048ca71c,FedEx,HI,,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500190630,Hilo CCD,46118
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office,HI,,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500390270,Ewa CCD,360841
national-post-office-hi-fedex-office-d898801937,FedEx Office,HI,,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500390810,Honolulu CCD,405295
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center,HI,,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500390810,Honolulu CCD,405295
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station,HI,,50000_plus,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500390810,Honolulu CCD,405295
national-post-office-hi-holualoa-792d6ec145,Holualoa,HI,,10000_to_49999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500192610,North Kona CCD,43313
national-post-office-hi-honaunau-fdd6693c98,Honaunau,HI,,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500193240,South Kona CCD,9789
national-post-office-hi-honomu-13b4cb3d6c,Honomu,HI,,2500_to_9999,U.S. Census Bureau 2020 PL 94-171 geography and Census Geocoder,2020-04-01,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.,County Subdivisions,1500192880,Papaikou-Wailea CCD,5433
