primary_city,state,sparse_chain_stack,packet_ready_rows,sample_brand,sample_store_name,sample_store_id,sample_address,sample_postal_code,sample_latitude,sample_longitude,source,source_date,license_status,review_status,candidate_note
Brookfield,IL,auto_parts,2,Advance Auto Parts,Advance Auto Parts,5d1a9fc7-4d31-418a-9745-618584c4d6f4,9109 Ogden Ave,60513-1905,41.816654205322266,-87.84971618652344,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Fairbury,IL,auto_parts,1,NAPA Auto Parts,Napa Fairbury,ded6d0d9-3b16-4250-bbe0-9454f6e5070c,109 S 1st St,61739-1508,40.74617385864258,-88.51599884033203,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Greenup,IL,auto_parts,1,NAPA Auto Parts,NAPA Auto Parts,a5e27fb8-5929-48c6-8fd6-139c42a2461f,1002 E Cumberland St,62428-1181,39.25082015991211,-88.15261840820312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Hodgkins,IL,auto_parts,1,AutoZone,AutoZone Auto Parts,33e29072-5c97-4bce-9e74-8d677625423d,6247 S La Grange Rd,60525-4163,41.7767219543457,-87.86753845214844,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Mount Carmel,IL,auto_parts,1,AutoZone,AutoZone,55725d3b-96db-41fc-83ea-f11d803fa4c8,810 Walnut St,62863,38.419532775878906,-87.77041625976562,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Petersburg,IL,auto_parts,1,O'Reilly Auto Parts,O'Reilly Auto Parts,878245ac-9626-48cb-99df-aeab35ec3cf3,320 E Sangamon St,62675-1289,40.012359619140625,-89.84674072265625,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Riverside,IL,auto_parts,1,AutoZone,AutoZone,84b16769-ae91-4092-a821-452ba91e73d4,1980 Harlem Ave,60546-1470,41.853694915771484,-87.80503845214844,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Sleepy Hollow,IL,auto_parts,1,Advance Auto Parts,Advance Auto Parts,23b6da51-f969-4e65-bd53-17fcf6de7517,1055 W Main St,60118-3800,42.099266052246094,-88.29940795898438,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Virden,IL,auto_parts,1,AutoZone,AutoZone,682bb99c-cb8f-4cfb-9253-ba0beb74b6c5,961 N Springfield St,62690-1002,39.51140213012695,-89.76766204833984,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Winthrop Harbor,IL,auto_parts,1,AutoZone,AutoZone,d64787f1-ce1d-4bff-90da-bf164101d9b1,1225 Sheridan Rd,60096-1865,42.47220230102539,-87.82381439208984,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois auto-parts-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Clarendon Hills,IL,grocery,1,Jewel-Osco,Jewel-Osco,043bad5e-b1d5-43f2-88a8-614667763d29,303 Holmes Ave,60514-1615,41.78734588623047,-87.9499740600586,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Dixmoor,IL,grocery,1,ALDI,Aldi,13e9d431-0b8a-4647-b0a8-a6124b29319d,14529 Western Ave,60426-4514,41.62493896484375,-87.67412567138672,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Glen Carbon,IL,grocery,1,ALDI,Aldi,a3dcb9e5-6554-481b-aa36-4a8bd32fa6d5,16 Cottonwood Rd,62034-2782,38.77384567260742,-89.95513153076172,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
La Grange Park,IL,grocery,2,ALDI,Aldi,18c421b6-a61b-4d63-a612-3edae6a16faf,333 N La Grange Rd,60526-5646,41.82113265991211,-87.86990356445312,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Palos Park,IL,grocery,1,Jewel-Osco,Jewel-Osco,93f51a6c-5a91-4a69-bea9-8ab4b96f2fea,9652 W 131st St,60464-1640,41.65340042114258,-87.85626220703125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois grocery-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
