target_id,primary_city,state,queue_rank,sparse_chain_stack,packet_ready_rows,sample_brand,sample_store_name,sample_store_id,sample_address,sample_postal_code,sample_latitude,sample_longitude,selection_note
il-third-pilot-brookfield,Brookfield,IL,1,auto_parts,2,Advance Auto Parts,Advance Auto Parts,5d1a9fc7-4d31-418a-9745-618584c4d6f4,9109 Ogden Ave,60513-1905,41.816654205322266,-87.84971618652344,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-fairbury,Fairbury,IL,2,auto_parts,1,NAPA Auto Parts,Napa Fairbury,ded6d0d9-3b16-4250-bbe0-9454f6e5070c,109 S 1st St,61739-1508,40.74617385864258,-88.51599884033203,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-greenup,Greenup,IL,3,auto_parts,1,NAPA Auto Parts,NAPA Auto Parts,a5e27fb8-5929-48c6-8fd6-139c42a2461f,1002 E Cumberland St,62428-1181,39.25082015991211,-88.15261840820312,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-hodgkins,Hodgkins,IL,4,auto_parts,1,AutoZone,AutoZone Auto Parts,33e29072-5c97-4bce-9e74-8d677625423d,6247 S La Grange Rd,60525-4163,41.7767219543457,-87.86753845214844,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-mount-carmel,Mount Carmel,IL,5,auto_parts,1,AutoZone,AutoZone,55725d3b-96db-41fc-83ea-f11d803fa4c8,810 Walnut St,62863,38.419532775878906,-87.77041625976562,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-petersburg,Petersburg,IL,6,auto_parts,1,O'Reilly Auto Parts,O'Reilly Auto Parts,878245ac-9626-48cb-99df-aeab35ec3cf3,320 E Sangamon St,62675-1289,40.012359619140625,-89.84674072265625,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-riverside,Riverside,IL,7,auto_parts,1,AutoZone,AutoZone,84b16769-ae91-4092-a821-452ba91e73d4,1980 Harlem Ave,60546-1470,41.853694915771484,-87.80503845214844,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-sleepy-hollow,Sleepy Hollow,IL,8,auto_parts,1,Advance Auto Parts,Advance Auto Parts,23b6da51-f969-4e65-bd53-17fcf6de7517,1055 W Main St,60118-3800,42.099266052246094,-88.29940795898438,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-virden,Virden,IL,9,auto_parts,1,AutoZone,AutoZone,682bb99c-cb8f-4cfb-9253-ba0beb74b6c5,961 N Springfield St,62690-1002,39.51140213012695,-89.76766204833984,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-winthrop-harbor,Winthrop Harbor,IL,10,auto_parts,1,AutoZone,AutoZone,d64787f1-ce1d-4bff-90da-bf164101d9b1,1225 Sheridan Rd,60096-1865,42.47220230102539,-87.82381439208984,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-clarendon-hills,Clarendon Hills,IL,11,grocery,1,Jewel-Osco,Jewel-Osco,043bad5e-b1d5-43f2-88a8-614667763d29,303 Holmes Ave,60514-1615,41.78734588623047,-87.9499740600586,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-dixmoor,Dixmoor,IL,12,grocery,1,ALDI,Aldi,13e9d431-0b8a-4647-b0a8-a6124b29319d,14529 Western Ave,60426-4514,41.62493896484375,-87.67412567138672,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-glen-carbon,Glen Carbon,IL,13,grocery,1,ALDI,Aldi,a3dcb9e5-6554-481b-aa36-4a8bd32fa6d5,16 Cottonwood Rd,62034-2782,38.77384567260742,-89.95513153076172,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-la-grange-park,La Grange Park,IL,14,grocery,2,ALDI,Aldi,18c421b6-a61b-4d63-a612-3edae6a16faf,333 N La Grange Rd,60526-5646,41.82113265991211,-87.86990356445312,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-albion,Albion,IL,15,qsr,1,McDonald's,McDonald's,6b79e6c8-0ebe-4f42-98d0-196506c7eac8,40 W Main St,62806-1031,38.377403259277344,-88.05973052978516,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-altamont,Altamont,IL,16,qsr,1,McDonald's,McDonald's,ee2a171c-d465-4357-881e-b563937ff335,1010 S Main St,62411,39.04754638671875,-88.7485580444336,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-arcola,Arcola,IL,17,qsr,1,McDonald's,McDonald's,0b448aa0-a8f4-47cc-8229-269627a1e832,550 E Springfield Rd,61910-1801,39.680728912353516,-88.2977523803711,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-bannockburn,Bannockburn,IL,18,qsr,1,McDonald's,McDonald's,280d4a47-93da-469f-99c3-74008bf01999,2587 Waukegan Rd,60015-1569,42.19902038574219,-87.86158752441406,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-henry,Henry,IL,19,pharmacy,1,CVS Pharmacy,CVS Pharmacy,11db99c3-1d05-487d-b3c5-b8b072554767,808 University Ave,61537-1062,41.112083435058594,-89.36872863769531,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
il-third-pilot-lincolnwood,Lincolnwood,IL,20,pharmacy,1,CVS Pharmacy,CVS Pharmacy,7e52ea5b-b963-4dac-b79f-9aaf8e299611,3950 W Devon Ave,60712-1043,41.99760818481445,-87.7283706665039,Selected for Illinois third-state A.1b pilot from one-layer sparse chain candidates.
