target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-mn-iverson-23fd0326ee,Iverson,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-harmony-6f58a446af,Harmony,gas_convenience,observed,1,Kwik Trip,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-porter-67f45c7c9d,Porter,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-heron-lake-96bbf7a835,Heron Lake,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-jackson-9a163870c4,Jackson,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-new-ulm-55013a5407,New Ulm,gas_convenience,observed,6,Casey's General Store; Freedom Valu Center; Holiday; Kwik Trip; SSL,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-courtland-fb88186654,Courtland,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-magnolia-0269ffd60c,Magnolia,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-wawina-7b82e8b2c3,Wawina,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-orr-2b5957cb45,Orr,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-naytahwaush-6612276cf7,Naytahwaush,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-chanhassen-7760ede94d,Chanhassen,gas_convenience,observed,3,Kwik Trip; Speedway,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
