target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-mn-iverson-23fd0326ee,Iverson,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-harmony-6f58a446af,Harmony,hardware,observed,1,Harmony Mercantile,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-porter-67f45c7c9d,Porter,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-heron-lake-96bbf7a835,Heron Lake,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-jackson-9a163870c4,Jackson,hardware,observed,1,Ace Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-new-ulm-55013a5407,New Ulm,hardware,observed,4,All-Stor Public Storage; Retzlaff's ACE Hardware; Runnings; Wood-n-Windows,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-courtland-fb88186654,Courtland,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-magnolia-0269ffd60c,Magnolia,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-wawina-7b82e8b2c3,Wawina,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-orr-2b5957cb45,Orr,hardware,observed,1,Orr Hardware,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-naytahwaush-6612276cf7,Naytahwaush,hardware,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-mn-chanhassen-7760ede94d,Chanhassen,hardware,observed,3,Ace Hardware; Public Storage; True Value,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
