target_id,primary_city,settlement_size_proxy,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,minimum_stack_class,candidate_next_action,claim_boundary
national-post-office-mn-iverson-23fd0326ee,Iverson,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-harmony-6f58a446af,Harmony,under_2500,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-porter-67f45c7c9d,Porter,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-heron-lake-96bbf7a835,Heron Lake,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-jackson-9a163870c4,Jackson,2500_to_9999,observed,checked_absent,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-new-ulm-55013a5407,New Ulm,10000_to_49999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-courtland-fb88186654,Courtland,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-magnolia-0269ffd60c,Magnolia,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-wawina-7b82e8b2c3,Wawina,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-orr-2b5957cb45,Orr,under_2500,observed,checked_absent,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-naytahwaush-6612276cf7,Naytahwaush,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-mn-chanhassen-7760ede94d,Chanhassen,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
