target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy
national-post-office-mn-iverson-23fd0326ee,Iverson post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Iverson,post_office_point_probe,,46.6314,46.7014,-92.5742,-92.4842,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349580532,Iverson Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-harmony-6f58a446af,Harmony post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Harmony,post_office_point_probe,,43.5200,43.5900,-92.0548,-91.9648,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349564252,Harmony Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-porter-67f45c7c9d,Porter post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Porter,post_office_point_probe,,44.5994,44.6694,-96.2103,-96.1203,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349567764,Porter Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-heron-lake-96bbf7a835,Heron Lake post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Heron Lake,post_office_point_probe,,43.7591,43.8291,-95.3642,-95.2742,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349562574,Heron Lake Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-jackson-9a163870c4,Jackson post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Jackson,post_office_point_probe,,43.5848,43.6548,-95.0330,-94.9430,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349562514,Jackson Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-new-ulm-55013a5407,New Ulm post-office-centered national sample candidate,national_post_office_sample_candidate,MN,New Ulm,post_office_point_probe,,44.2785,44.3485,-94.5014,-94.4114,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:454779712,New Ulm Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-courtland-fb88186654,Courtland post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Courtland,post_office_point_probe,,44.2333,44.3033,-94.3850,-94.2950,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349566040,Courtland Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-magnolia-0269ffd60c,Magnolia post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Magnolia,post_office_point_probe,,43.6107,43.6807,-96.1255,-96.0355,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1280963494,Magnolia Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-wawina-7b82e8b2c3,Wawina post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Wawina,post_office_point_probe,,47.0181,47.0881,-93.1639,-93.0739,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:349582351,Wawina Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
national-post-office-mn-orr-2b5957cb45,Orr post-office-centered national sample candidate,national_post_office_sample_candidate,MN,Orr,post_office_point_probe,,48.0180,48.0880,-92.8770,-92.7870,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:706717525,Orr Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T02:16:42Z,MN,not_joined
