target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ms-tutwiler-0ca09919c3,Tutwiler,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-bigbee-valley-905a04396f,Bigbee Valley,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-union-church-ea072f6994,Union Church,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-wiggins-ca2830aa2a,Wiggins,food_service,observed,22,Arby's; Bobbie Jean's Eatery; Boondocks BBQ; China Inn Restaurant; Crawfish Connection; Domino's; Hibachi Express; Little Caesars; McAlister's Deli; McDonald's; Pizza Inn; Popeyes; Rio Grande; Sleepy Bear Food & Drink; Sonic; Southern Turnings LLC; Staigle's Steakhouse; Subway; Taco Bell; Waffle House; Ward's; Wendy's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-phillip-594c315f87,Phillip,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-verona-b144237576,Verona,food_service,observed,3,Hardee's; Popeyes; Subway,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-crowder-66d363bf86,Crowder,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale,food_service,observed,8,Church's Chicken; Daylight Donuts; Levon's Bar & Grill; McDonald's; Sonic; Stone Pony; Wingstop; Yazoo Pass,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs,food_service,observed,84,Applebee's; Arby's; Aunt Jenny's Catfish House; Aztecas Restaurante and Cantina; B.B.'s PoBoys; Blue Dog Bistro; Burger King; Charred; Checkers; Cheryl's Steakhouse; China Wok; Coffee Fusion; Crawfish House; Denny's; Domino's; Donuts; Dynasty Buffet; Eat Drink Love; Edo; El Saltillo; Fahrenheit Cafe; Glory Bound Gyro Co.; Government Street Grocery; Hartz Chicken; Hatsukoi Restaurant & Sushi Bar; Honey Baked Ham; Hwy To India; Krispy Kreme; La Plaza Catina and Grill; Lenny's Sub Shop; Little Caesars; Lola Fleur; LuLu's Corner Cafe; Maison de Lu; Marina Cantina; Martha's Tea Room; McAlister's; McDonald's; Mellow Mushroom; Mikie's on the Bayou; Mosaic's Tapas Restaurant & Bar; Murky Waters BBQ; Nana J's Souful Kitchen; New York Pizza; Owyhee Bowl; Palace Casino Buffet; Paninis and Boba O Mai; Papa John's; Pho; Phoenicia Gourmet; Pizza Hut; Pleasant's BBQ; Po-Boy Express; Popeyes; Quakes; Raising Cane's; Saltgrass Steak House; Smoothie King; Sonic; Starbucks; Subway; Taco Bell; Tato Nut Donut Shop; The Beer House American Pub; The Burger Bar; The Crawfish House and Grill; The District Coffee Company; The Finest Grind; The Greenhouse on Porter; The Keg; The Lady May; Tom's Extreme Pizzaria; Trilby's; VK Noodle House; Vestige; Waffle House; Wasabi; Wendy's; Woody's Roadside,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-nitta-yuma-1b0b62daba,Nitta Yuma,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-valley-park-c02f8044f8,Valley Park,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg,food_service,observed,2,Subway; Ward's Restaurant,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
