target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ms-tutwiler-0ca09919c3,Tutwiler,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-bigbee-valley-905a04396f,Bigbee Valley,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-union-church-ea072f6994,Union Church,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-wiggins-ca2830aa2a,Wiggins,gas_convenience,observed,2,Chevron; Murphy USA,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-phillip-594c315f87,Phillip,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-verona-b144237576,Verona,gas_convenience,observed,2,Palmetto Quick Stop; Papa V,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-crowder-66d363bf86,Crowder,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale,gas_convenience,observed,1,Tiger 1 Mart,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs,gas_convenience,observed,2,Kangaroo Express; Molher's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-nitta-yuma-1b0b62daba,Nitta Yuma,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-valley-park-c02f8044f8,Valley Park,gas_convenience,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg,gas_convenience,observed,4,Chevron; Clark's #8; Heidelberg One Stop; Valero,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
