target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-ms-tutwiler-0ca09919c3,Tutwiler,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-bigbee-valley-905a04396f,Bigbee Valley,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-union-church-ea072f6994,Union Church,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-wiggins-ca2830aa2a,Wiggins,laundromat,observed,1,Hometown Cleaners & Laundry,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-phillip-594c315f87,Phillip,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-verona-b144237576,Verona,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-crowder-66d363bf86,Crowder,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs,laundromat,observed,3,Brass Hanger; Coastal Coin Laundry; Village Cleaners,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-nitta-yuma-1b0b62daba,Nitta Yuma,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-valley-park-c02f8044f8,Valley Park,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg,laundromat,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
