target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy
national-post-office-ms-tutwiler-0ca09919c3,Tutwiler post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Tutwiler,post_office_point_probe,,33.9811,34.0511,-90.4754,-90.3854,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:11047129073,Tutwiler Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-bigbee-valley-905a04396f,Bigbee Valley post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Bigbee Valley,post_office_point_probe,,33.2129,33.2829,-88.3950,-88.3050,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357998065,Bigbee Valley Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-union-church-ea072f6994,Union Church post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Union Church,post_office_point_probe,,31.6479,31.7179,-90.8318,-90.7418,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357998022,Union Church Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-wiggins-ca2830aa2a,Wiggins post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Wiggins,post_office_point_probe,,30.8207,30.8907,-89.1842,-89.0942,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357997919,Wiggins Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-phillip-594c315f87,Phillip post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Phillip,post_office_point_probe,,33.7231,33.7931,-90.2453,-90.1553,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:11111478949,Phillip Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-verona-b144237576,Verona post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Verona,post_office_point_probe,,34.1531,34.2231,-88.7655,-88.6755,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:10888907385,Verona Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-crowder-66d363bf86,Crowder post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Crowder,post_office_point_probe,,34.1383,34.2083,-90.1813,-90.0913,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:13930054901,Crowder Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Clarksdale,post_office_point_probe,,34.1676,34.2376,-90.6157,-90.5257,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357998113,Clarksdale Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Ocean Springs,post_office_point_probe,,30.3820,30.4520,-88.8610,-88.7710,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:138678203,Ocean Springs Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
national-post-office-ms-nitta-yuma-1b0b62daba,Nitta Yuma post-office-centered national sample candidate,national_post_office_sample_candidate,MS,Nitta Yuma,post_office_point_probe,,32.9896,33.0596,-90.8968,-90.8068,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357998050,Nitta Yuma Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T23:53:20Z,MS,not_joined
