target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:275374472,,,,Denali National Park,AK,,63.7446287,-148.9011275,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:12145240884,Canyon Park Steakhouse,,,Denali National Park,AK,,63.7501785,-148.9011196,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:367158387,Denali Doghouse,,,Denali National Park,AK,,63.7460611,-148.8978185,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:367107012,Denali Salmon Bake,,,Denali National Park,AK,,63.7448511,-148.8959866,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:12147026832,Denali Wild Crepes,,,Denali National Park,AK,,63.7478883,-148.8993639,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:275374613,Fannie Q's Saloon,,,Denali National Park,AK,,63.7453874,-148.9024756,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:275374851,Karstens Public House/Karstens Espresso,,,Denali National Park,AK,,63.7491298,-148.9043405,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:275374458,Lynx Creek Pizza & Pub,,,Denali National Park,AK,,63.7466237,-148.9011490,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:4965019819,Moose Aka's,,,Denali National Park,AK,,63.7488391,-148.8993883,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:263567393,Morino Grill,,,Denali National Park,AK,,63.7315512,-148.9158314,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:4965087906,Prospectors Pizzeria Alehouse,,,Denali National Park,AK,,63.7491456,-148.8989261,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:4964014993,Subway,,,Denali National Park,AK,,63.7465822,-148.8985984,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:4964968755,Thai & Chinese Food To Go,,,Denali National Park,AK,,63.7481090,-148.8993902,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:11033585316,The Overlook,,,Denali National Park,AK,,63.7461893,-148.8950671,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:3331281445,,,,Fairbanks Downtown Station,AK,,64.8373399,-147.7552913,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:4951372010,,,,Fairbanks Downtown Station,AK,,64.8569604,-147.7002806,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:58:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
