target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ca-angwin-f00965e642,Angwin post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:977915572,PUC Cafeteria,,,Angwin,CA,,38.5705278,-122.4404230,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-angwin-f00965e642,Angwin post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9054778423,The Grind,,,Angwin,CA,,38.5703297,-122.4403774,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:11115142339,Brewed Awakening,,,Big Pine,CA,,37.1661850,-118.2893410,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:759761073,Copper Top BBQ,,,Big Pine,CA,,37.1696400,-118.2892360,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:2611827336,Country Kitchen,,,Big Pine,CA,,37.1650290,-118.2900880,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:4482171391,Hugo's,,,Big Pine,CA,,37.1681960,-118.2892810,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:1941034793,Two Brothers From Italy,,,Big Pine,CA,,37.1664980,-118.2892820,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-copperopolis-299815fb9d,Copperopolis post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9023983645,Bandit's Restaurant and Bar,,,Copperopolis,CA,,37.9724776,-120.6525632,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:1021535618,,,,Diablo,CA,,37.8229057,-122.0007967,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9960384077,11th Tiger - Thai Street Café,,,Diablo,CA,,37.8236319,-122.0022919,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:688035305,Akira Bistro,,,Diablo,CA,,37.8177082,-121.9968909,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:13423320748,Albatross,,,Diablo,CA,,37.8201181,-121.9984637,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:7785228760,Amici,,,Diablo,CA,,37.8104961,-121.9903494,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9713234086,Aozora Japanese Restaurant,,,Diablo,CA,,37.8123760,-121.9976511,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9873654457,Bagel Street Cafe,,,Diablo,CA,,37.8125862,-121.9965644,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9960432177,Basque Boulangerie Café,,,Diablo,CA,,37.8212127,-121.9994814,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:8253150957,Beep's Burgers,,,Diablo,CA,,37.8012582,-121.9183010,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:557851948,Black Bear Diner,,,Diablo,CA,,37.8101477,-121.9913023,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:1052620083,Blue Line Pizza,,,Diablo,CA,,37.8203746,-121.9974944,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:way:1087091158,Bridges Restaurant and Bar,,,Diablo,CA,,37.8211647,-121.9979177,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,food_service,osm:node:9625790184,China Courmet,,,Diablo,CA,,37.8237476,-121.9929805,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_food_service
