target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1223705808,,,,Aina Haina,HI,,21.2722906,-157.7735798,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:5160131989,7-Eleven,,,Aina Haina,HI,,21.2941429,-157.7105906,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:858331412,7-Eleven,,,Aina Haina,HI,,21.2828376,-157.7352803,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:362024177,76,,,Aina Haina,HI,,21.2785976,-157.7549416,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:1082418802,Aloha Island Mart,,,Aina Haina,HI,,21.2836141,-157.7135233,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:152607493,Aloha Island Mart,,,Aina Haina,HI,,21.2778352,-157.7842295,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:13451155258,Number One Store,,,Aina Haina,HI,,21.2911968,-157.7971323,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:5457893021,,,,Downtown Hilo,HI,,19.7228291,-155.0835704,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:node:9161272862,,,,Downtown Hilo,HI,,19.6973286,-155.0631730,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:303234302,,,,Downtown Hilo,HI,,19.7122692,-155.0775106,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
national-post-office-hi-downtown-hilo-91a7b50724,Downtown Hilo post-office-centered national sample candidate,national_post_office_sample_candidate,gas_convenience,osm:way:303231973,7-Eleven,,,Downtown Hilo,HI,,19.7157548,-155.0827327,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_gas_convenience
