target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
il-third-pilot-altamont,Altamont third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/9875857594,Jack Flash,,1206 S Main St,Altamont,IL,62411,39.0461639,-88.7488950,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-arcola,Arcola third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/1229630813,Casey's General Store,Casey's General Store,,Arcola,IL,,39.6848644,-88.3095542,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-arcola,Arcola third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/1245077225,Casey's General Store,Casey's General Store,,Arcola,IL,,39.6848810,-88.3092620,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/10605542817,Casey's General Store,Casey's General Store,,Fairbury,IL,,40.7433850,-88.5119552,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/10605542818,Casey's General Store,Casey's General Store,,Fairbury,IL,,40.7435732,-88.5119915,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/10635572500,Circle K,Circle K,405 West Oak Street,Fairbury,IL,61739,40.7433422,-88.5182199,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/9859635362,Circle K,Circle K,,Fairbury,IL,,40.7435076,-88.5182518,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/10605463810,Shell,Shell,,Fairbury,IL,,40.7441740,-88.5228975,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/10605463811,Shell,Shell,700 West Oak Street,Fairbury,IL,61739,40.7442757,-88.5228161,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-greenup,Greenup third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/7731892209,Gas Convenience,,,Greenup,IL,,39.2515728,-88.1540651,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
il-third-pilot-greenup,Greenup third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/888176679,Gas Convenience,,,Greenup,IL,,39.2518295,-88.1547059,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,exclude,unnamed_trip_anchor
il-third-pilot-greenup,Greenup third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:node/12257901084,Love's,Love's,203 North Haughton Highway,Greenup,IL,62428,39.2529976,-88.1521250,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-greenup,Greenup third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/1324623220,Love's,Love's,203 North Haughton Highway,Greenup,IL,62428,39.2529813,-88.1532535,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/967369640,7-Eleven,7-Eleven,2020 Sheridan Road,Zion,IL,60099,42.4577073,-87.8258092,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/967369641,7-Eleven,7-Eleven,2020 Sheridan Road,Zion,IL,60099,42.4577953,-87.8255258,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/891174723,BP,BP,12720 Sheridan Road,Pleasant Prairie,WI,53158,42.4932242,-87.8221239,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/675023403,BP Shop,BP Shop,12720 Sheridan Road,Pleasant Prairie,WI,53158,42.4932148,-87.8223654,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/1422131830,Citgo,Citgo,2301 Sheridan Road,Zion,IL,60099,42.4538215,-87.8251454,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/966780470,Citgo,Citgo,2301 Sheridan Road,Zion,IL,60099,42.4538239,-87.8248664,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,gas_convenience,osm:way/360970658,Ins Petroleum,,1701 Kenosha Road,Zion,IL,60099,42.4641875,-87.8659775,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
