target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ca-forestville-76b2d0fdbd,Forestville post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:13727964830,Ideal Hardware,,,Forestville,CA,,38.4737685,-122.8924353,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:25796725,Ace Hardware,,,PostalAnnex,CA,,37.4209227,-122.0998756,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:4894442882,Bruce Bauer Lumber & Supply,,,PostalAnnex,CA,,37.4089008,-122.1101605,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:1975949712,Kwik Key,,,PostalAnnex,CA,,37.3933814,-122.0981049,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:118793161,Los Altos Hardware,,,PostalAnnex,CA,,37.3749741,-122.1150378,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:250610757,Meyer Appliances,,,PostalAnnex,CA,,37.3750743,-122.0609087,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:1576214410,True Value,,,PostalAnnex,CA,,37.3880689,-122.0890930,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:1548325994,Yardbird Equipment,,,PostalAnnex,CA,,37.4155817,-122.1009831,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-soledad-2a4f7e829e,Soledad post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:8744325050,Soledad Hardware & Lbr Inc,,,Soledad,CA,,36.4245866,-121.3260684,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-soledad-2a4f7e829e,Soledad post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:8744278799,Soledad True Value Hardware,,,Soledad,CA,,36.4262352,-121.3279290,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-sonora-e095478671,Sonora post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:10297809027,Harbor Freight Tools,,,Sonora,CA,,37.9754447,-120.3701360,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-sonora-e095478671,Sonora post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:582644495,Lowe's,,,Sonora,CA,,37.9715055,-120.3684875,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:1842039466,Outdoor Supply Hardware,,,South San Leandro Station San Leandro,CA,,37.7007611,-122.1432560,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:12397139693,Sayfee's Hardware,,,South San Leandro Station San Leandro,CA,,37.7411475,-122.1678957,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
