target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:807904757,,,,9 to 5 Print,NM,,36.3708714,-105.5929222,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trade_anchor
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:6718958291,Ace Hardware,,,9 to 5 Print,NM,,36.4036276,-105.5734442,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:6718761316,Harbor Freight Tools,,,9 to 5 Print,NM,,36.3913251,-105.5828371,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:6718761377,Randall Hardware and Lumber,,,9 to 5 Print,NM,,36.4014431,-105.5750368,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:6719052975,Rio Grande Ace Hardware,,,9 to 5 Print,NM,,36.3717960,-105.5940540,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:210260166,Lowe's,,,ABQ Montano Annex,NM,,35.1077444,-106.6603882,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:9000204296,Precision Masonry Inc,,,ABQ Montano Annex,NM,,35.1139313,-106.6135147,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:7041873429,Samon's Electric & Plumbing,,,ABQ Montano Annex,NM,,35.1087745,-106.5900260,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:2671473691,TJ Hardware.,,,ABQ Montano Annex,NM,,35.1180019,-106.6047784,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:705785050,The Home Depot,,,ABQ Montano Annex,NM,,35.1359958,-106.6178573,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:1674985276,Floorscapes,,,Academy,NM,,35.1806455,-106.6100895,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
