target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:13104263038,,,,Annex Finance,RI,,41.8171339,-71.3688709,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trade_anchor
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:309146539,Adler's Design Center & Hardware,,,Annex Finance,RI,,41.8190720,-71.3997871,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:2349765608,Cypress Design,,,Annex Finance,RI,,41.8307569,-71.3705367,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:2349769495,East Side Construction,,,Annex Finance,RI,,41.8308968,-71.3703436,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:43059179,Lowe's,,,Annex Finance,RI,,41.7966774,-71.4448245,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:12568797701,"Mt. Pleasant Hardware, Inc.",,,Annex Finance,RI,,41.8317138,-71.4441833,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:11460971596,Salk's Ace Hardware,,,Annex Finance,RI,,41.8578559,-71.3922659,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:164257207,The Home Depot,,,Annex Finance,RI,,41.8437654,-71.4172427,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:147059317,Grossmans Bargain Outlet,,,Apponaug Station,RI,,41.7296033,-71.4792303,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:2488238797,Harbor Freight Tools,,,Apponaug Station,RI,,41.7075945,-71.4972860,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:140420467,Lowe's,,,Apponaug Station,RI,,41.7205206,-71.4667690,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:147059246,Lowe's,,,Apponaug Station,RI,,41.6827710,-71.4972853,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
