target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-tx-astrodome-4e10ef4349,Astrodome post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:203396467,,,,Astrodome,TX,,29.7064480,-95.4407912,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,exclude,unnamed_trade_anchor
national-post-office-tx-astrodome-4e10ef4349,Astrodome post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1148112250,Lowe's,,,Astrodome,TX,,29.6878019,-95.4565372,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-astrodome-4e10ef4349,Astrodome post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1146876934,The Home Depot,,,Astrodome,TX,,29.7234795,-95.4573986,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-astrodome-4e10ef4349,Astrodome post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:194663285,The Home Depot,,,Astrodome,TX,,29.7233577,-95.4574081,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-dallas-lake-highlands-station-ddaa42f713,Dallas Lake Highlands Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:468043038,Lowe's,,,Dallas Lake Highlands Station,TX,,32.8658144,-96.6843215,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-dallas-lake-highlands-station-ddaa42f713,Dallas Lake Highlands Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:8491965324,Rooster Home and Hardware,,,Dallas Lake Highlands Station,TX,,32.8659519,-96.7089053,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-postal-service-2c5fb90ddb,Postal Service post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:750489227,Lowe's,,,Postal Service,TX,,31.0871739,-97.7219448,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-postal-service-2c5fb90ddb,Postal Service post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:727962485,The Home Depot,,,Postal Service,TX,,31.0883733,-97.7085983,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:439434504,Adsco Line Products Inc,,,SAM HOUSTON,TX,,29.7695926,-95.3950977,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:375573671,Power Tool Service & Supply,,,SAM HOUSTON,TX,,29.7408882,-95.3429480,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:375333626,Showcase Custom Vinyl Windows And Doors,,,SAM HOUSTON,TX,,29.7363965,-95.3412995,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:860417699,Southland Hardware,,,SAM HOUSTON,TX,,29.7430470,-95.4057850,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1099417455,The Home Depot,,,SAM HOUSTON,TX,,29.7750007,-95.3869550,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-sharon-s-hallmark-6709796b0d,Sharon's/Hallmark post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:734907118,The Home Depot,,,Sharon's/Hallmark,TX,,31.7395408,-106.3204403,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-tx-vidor-56f6f66a69,Vidor post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1086972265,Ace Hardware,,,Vidor,TX,,30.1402506,-94.0153026,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
