target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ca-big-pine-c6a6b457b7,Big Pine post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4927827070,,,,Big Pine,CA,,37.1668191,-118.2898113,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9625790187,Hesperian Cleaners Inc.,,,Diablo,CA,,37.8239351,-121.9929848,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6448797382,Made to Fit,,,Diablo,CA,,37.8123512,-121.9946729,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:10301385717,Martinizing Dry Cleaning,,,Diablo,CA,,37.8197557,-121.9955116,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6456641544,Penguin Cleaners,,,Diablo,CA,,37.8187812,-121.9971810,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-diablo-b33cebdca3,Diablo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9656779059,Village Cleaners,,,Diablo,CA,,37.8141211,-121.9966730,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-forestville-76b2d0fdbd,Forestville post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13727964828,Coin Laundry,,,Forestville,CA,,38.4733577,-122.8927925,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2641042500,,,,PostalAnnex,CA,,37.3774096,-122.1161197,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:314151434,,,,PostalAnnex,CA,,37.3607420,-122.0963650,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6258362254,,,,PostalAnnex,CA,,37.3963480,-122.0992791,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:841622613,547B,,,PostalAnnex,CA,,37.4074881,-122.0542301,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
