target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:807886284,Peralta's Laundromat,,,9 to 5 Print,NM,,36.3852792,-105.5866470,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12082117265,Pinch Penny Wash-O-Mat,,,9 to 5 Print,NM,,36.4222472,-105.5720825,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-9-to-5-print-07a5e09290,9 to 5 Print post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13250263001,Wash n' Fold Laundromat,,,9 to 5 Print,NM,,36.4027753,-105.5752958,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:1365346705,,,,ABQ Montano Annex,NM,,35.1196542,-106.5932326,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6515529836,Master Cleaners,,,ABQ Montano Annex,NM,,35.1013598,-106.6038218,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-abq-montano-annex-9cf889132d,ABQ Montano Annex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7851355673,Star Bright Cleaners,,,ABQ Montano Annex,NM,,35.1535895,-106.6405640,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:14055195570,Best Way Cleaners,,,Academy,NM,,35.1761489,-106.5583622,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12882663155,Dry Cleaning Plus,,,Academy,NM,,35.1610873,-106.5594206,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:376314790,Spin Cycle,,,Academy,NM,,35.1304078,-106.5704934,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12882698032,Star Bright Cleaners,,,Academy,NM,,35.1731085,-106.5579681,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:11585808621,The Cleanery,,,Academy,NM,,35.1385962,-106.5322531,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-academy-9db4ff3c07,Academy post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13610329454,Wash Tub Laundry,,,Academy,NM,,35.1680417,-106.5683078,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-alamogordo-9f67bfb127,Alamogordo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13842444615,Busy Bee Coin Laundry,,,Alamogordo,NM,,32.8896610,-105.9530805,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-alamogordo-9f67bfb127,Alamogordo post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13842515301,Busy Bee Laundry,,,Alamogordo,NM,,32.9163024,-105.9521822,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-nm-albuquerque-180e428b1f,Albuquerque post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:1803122391,,,,Albuquerque,NM,,35.0864558,-106.6857054,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
