target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13104237139,City Bubbles,,,Annex Finance,RI,,41.8139446,-71.3709175,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:633649218,Courtesy Cleaners,,,Annex Finance,RI,,41.8256004,-71.3870154,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13626747441,Eden Park Cleaners,,,Annex Finance,RI,,41.8496152,-71.3943971,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:11665552321,Green Dry Cleaning,,,Annex Finance,RI,,41.8348325,-71.3908266,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:377304469,Lalin Coin Laundry Mat,,,Annex Finance,RI,,41.8089564,-71.4337855,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:11741862965,The Laundry Club,,,Annex Finance,RI,,41.8294955,-71.3876379,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12968470980,True-shine Laundromat,,,Annex Finance,RI,,41.8142274,-71.4268275,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:8569265084,Thorpe's Laundromat & Dry Cleaning,,,Apponaug Station,RI,,41.7156329,-71.4954092,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-barrington-82bdad8fc9,Barrington post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:1159003896,Bullocks Point Laundromat,,,Barrington,RI,,41.7710345,-71.3620057,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-broadway-346c2a36b6,Broadway post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:410216534,Mall Laundromat,,,Broadway,RI,,41.5119750,-71.3170528,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-broadway-346c2a36b6,Broadway post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12121937310,Micki's Mat,,,Broadway,RI,,41.4810837,-71.3077250,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-central-falls-211329b45d,Central Falls post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:1442942219,,,,Central Falls,RI,,41.8723069,-71.3864643,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-ri-central-falls-211329b45d,Central Falls post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:11585361303,Bubble Wash Laundromat,,,Central Falls,RI,,41.8614861,-71.3943513,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-central-falls-211329b45d,Central Falls post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2349801255,Diamond Dry Cleaners,,,Central Falls,RI,,41.8599840,-71.3520687,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ri-centreville-57742e4232,Centreville post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:545465961,Ray's Polyclean Center,,,Centreville,RI,,41.7141554,-71.5241333,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
