target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy
national-post-office-ri-annex-finance-af912748c0,Annex Finance post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Annex Finance,post_office_point_probe,,41.7910,41.8610,-71.4562,-71.3662,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:8996842739,Annex Finance Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-apponaug-station-f8f803db9f,Apponaug Station post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Apponaug Station,post_office_point_probe,,41.6645,41.7345,-71.5009,-71.4109,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:8769615799,Apponaug Station Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-barrington-82bdad8fc9,Barrington post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Barrington,post_office_point_probe,,41.7087,41.7787,-71.3757,-71.2857,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:311642434,Barrington Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-block-island-ac7592fa0e,Block Island post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Block Island,post_office_point_probe,,41.1368,41.2068,-71.6015,-71.5115,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:7941399335,Block Island Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-bristol-350c233b54,Bristol post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Bristol,post_office_point_probe,,41.6361,41.7061,-71.3219,-71.2319,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357258915,Bristol Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-broadway-346c2a36b6,Broadway post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Broadway,post_office_point_probe,,41.4599,41.5299,-71.3537,-71.2637,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:2799954006,Broadway Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-bryant-university-1c4c9cc6b0,Bryant University post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Bryant University,post_office_point_probe,,41.8847,41.9547,-71.5838,-71.4938,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:6970577903,Bryant University Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-central-falls-211329b45d,Central Falls post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Central Falls,post_office_point_probe,,41.8520,41.9220,-71.4326,-71.3426,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357264115,Central Falls Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-centreville-57742e4232,Centreville post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Centreville,post_office_point_probe,,41.6713,41.7413,-71.5680,-71.4780,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:147059322,Centreville Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-chepachet-3035201489,Chepachet post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Chepachet,post_office_point_probe,,41.8779,41.9479,-71.7135,-71.6235,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:461365076,Chepachet Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-clayville-f1ff22f00c,Clayville post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Clayville,post_office_point_probe,,41.7390,41.8090,-71.7171,-71.6271,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:357268303,Clayville Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
national-post-office-ri-coventry-6d6e6926c0,Coventry post-office-centered national sample candidate,national_post_office_sample_candidate,RI,Coventry,post_office_point_probe,,41.6396,41.7096,-71.6379,-71.5479,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:711716541,Coventry Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,RI,not_joined
