target_id,primary_city,evidence_item,source_name,source_url,source_date,observed_name,observed_address,latitude,longitude,inside_target_box,evidence_role,geocoder_source,review_note
national-post-office-sd-alcester-4fbca0de20,Alcester,post_office_local_directory,City of Alcester business directory,https://alcester.sdcity.gov/alcester-area-business-directory,2026-08-16,Alcester United States Post Office,111 Dakota St Alcester SD 57001,43.0203399,-96.6294617,yes,confirms_postal_anchor,U.S. Census Geocoder,City directory lists the post office at 111 Dakota St inside the sampled target box.
national-post-office-sd-alcester-4fbca0de20,Alcester,food_gas_grocery_local_directory,City of Alcester business directory,https://alcester.sdcity.gov/alcester-area-business-directory,2026-08-16,Total Stop Food Store,210 E 1st St Alcester SD 57001,43.0202034,-96.6293374,yes,inside_box_everyday_service,U.S. Census Geocoder,City directory describes Total Stop as Hot Stuff pizza quick-eat grocery gas station and casino; Census geocoder places it inside the target box.
national-post-office-sd-alexandria-2e7eebff18,Alexandria,gas_convenience_brand_locator,Sinclair station locator,https://stations.sinclairoil.com/sd/alexandria/1151-spruce-st,2026-08-16,Sinclair Gas Station Alexandria,1151 Spruce St Alexandria SD 57311,43.6617366,-97.7868513,yes,inside_box_everyday_service,OpenStreetMap Nominatim,Sinclair lists a convenience store at 1151 Spruce St; Nominatim places Spruce Street inside the target box.
national-post-office-sd-alexandria-2e7eebff18,Alexandria,food_gas_local_site,Friendly's Fuel Stop,https://friendlysfuelstop.com/,2026-08-16,Friendly's Fuel Stop Alexandria,1151 Spruce St Alexandria SD 57311,43.6617366,-97.7868513,yes,inside_box_everyday_service,OpenStreetMap Nominatim,Friendly's lists Alexandria with Sinclair fuel hot deli food Pizza Hut Express and in-store seating; exact source page embeds a map but Census did not match the address.
national-post-office-sd-allen-79c0327f6e,Allen,community_service_local_institution,American Horse School employment page,https://americanhorsechiefs.org/employment,2026-08-16,Allen gas/convenience store,Allen SD 57714,,,unknown,community_everyday_service_observed,not_geocoded,American Horse School says Allen has a gas/convenience store; the source does not provide a storefront address.
national-post-office-sd-allen-79c0327f6e,Allen,store_tax_jurisdiction,South Dakota Department of Revenue,https://dor.sd.gov/businesses/taxes/sales-use-tax/sales-of-products-or-service-within-indian-country/,2026-08-16,Allen Store,Allen SD 57714,,,unknown,community_store_observed,not_geocoded,State DOR lists Allen Store in Allen as part of Oglala special jurisdiction retail tax context; exact storefront coordinates remain source-gated.
national-post-office-sd-allen-79c0327f6e,Allen,grocery_directory,Manta business directory,https://www.manta.com/c/mmgyk69/allen-store,2026-08-16,Allen Store,Main Street Allen SD 57714,,,unknown,community_grocery_observed,not_geocoded,Manta categorizes Allen Store as a grocery store on Main Street; geocoding did not resolve an exact point.
national-post-office-sd-allen-79c0327f6e,Allen,grocery_directory_with_map,Yellow-Pages.us.com directory,https://yellow-pages.us.com/south-dakota/allen/pass-creek-market-b37158883,2026-08-16,Pass Creek Market,104 E Dance Rd Allen SD 57714,43.281374,-101.925532,yes,inside_box_everyday_service,source_map_link,Directory lists Pass Creek Market as a grocery store at 104 E Dance Rd; the linked driving-directions map resolves inside the sampled target box.
national-post-office-sd-allen-79c0327f6e,Allen,fuel_tank_official_dataset,U.S. EPA Region 8 Tribal UST data,https://www.epa.gov/system/files/documents/2025-12/region-8-tribal-ust-data-nov-2025.xlsx,2026-08-16,Pass Creek Market (FKA Allen Store),104 E. Dance Road Allen SD 57714,43.281374,-101.925532,yes,inside_box_gas_convenience,EPA address plus source_map_link,EPA UST workbook lists Pass Creek Market FKA Allen Store with currently-in-use diesel/gasoline tank at 104 E Dance Road; coordinates are carried from the directory map link.
national-post-office-sd-artesian-a7016c8d34,Artesian,post_office_geocode,USPS/Census geocoded address,https://tools.usps.com/locations/details/1353423,2026-08-16,Artesian Post Office,225 N Main St Artesian SD 57314,44.0083657,-97.9214216,yes,confirms_postal_anchor,U.S. Census Geocoder,Official USPS address geocodes inside the sampled target box.
national-post-office-sd-artesian-a7016c8d34,Artesian,gas_qsr_brand_locator,Sinclair station locator,https://stations.sinclairoil.com/sd/artesian/40855-sd-highway-34,2026-08-16,Sinclair Gas Station Artesian,40855 SD Highway 34 Artesian SD 57314,44.0097642,-98.0437604,no,nearby_outside_target_box,U.S. Census Geocoder,Sinclair lists convenience store fuel and restaurant/quick-service service, but Census geocoder places it west of the sampled target box.
national-post-office-sd-astoria-fe7bf7e0c0,Astoria,post_office_geocode,USPS/Census geocoded address,https://tools.usps.com/locations/details/1353544,2026-08-16,Astoria Post Office,331 Main St Astoria SD 57213,44.5583390,-96.5422685,yes,confirms_postal_anchor,U.S. Census Geocoder,Official USPS address geocodes inside the sampled target box.
national-post-office-sd-astoria-fe7bf7e0c0,Astoria,restaurant_directory,Yellow Pages restaurant directory,https://www.yellowpages.com/astoria-sd/mip/village-inn-503682633,2026-08-16,Village Inn,339 Main St Astoria SD 57213,44.5583369,-96.5424824,yes,inside_box_food_service,U.S. Census Geocoder,Yellow Pages lists Village Inn as American restaurant breakfast brunch and lunch at 339 Main St; Census geocoder places it inside the target box.
national-post-office-sd-astoria-fe7bf7e0c0,Astoria,restaurant_directory,MenuPix restaurant directory,https://www.menupix.com/southdakota/restaurants/4100034/Astoria-Village-Inn-Astoria-SD,2026-08-16,Astoria Village Inn,339 Main St Astoria SD 57213,44.5583369,-96.5424824,yes,inside_box_food_service,U.S. Census Geocoder,MenuPix lists Astoria Village Inn as an American restaurant at 339 Main St.
