target_id,primary_city,facility_type,sidecar_status,packet_ready_rows,observed_facility_names,claim_boundary
national-post-office-tx-postal-service-2c5fb90ddb,Postal Service,food_service,observed,66,Black Bear Diner; Brick & Forge Tap Room; Bubba's; Buffalo Wild Wings; Bush's Chicken; C&D Cups; Chau's Cafe; Chick-fil-A; Chili's; Choice Barbecue Restaurant; Chuck E. Cheese; Church's Chicken; Cici's Pizza; DQ Grill & Chill; Denny's; Domino's; Freebirds; G&B Pool Hall; GSpot Grill; Galaxy Bar & Grill; Halys Latin Food; Hook & Reel Cajun Seafood & Bar; Hu-Nan; IHOP; In-N-Out Burger; Jack in the Box; Jimmy's Egg; K's Oriental Food to Go; KFC; KPOT Korean BBQ & Hot Pot; King Noodle and Bar; Koko Cafe; Little Caesars; Long John Silver's; Los Cabos Mexican Grill; MasFajitas; McAlister's Deli; McDonald's; Olive Garden; Outback Steakhouse; Popeyes; Raising Cane's; Red Lobster; Rudy's Country Store and Bar-B-Q; Schlotzsky's; Sonic; Starbucks; Subway; TGI Friday's; Taco Bell; Taqueria Mexico; Texas Krab House - Food Truck; Texas Roadhouse; Tham Rab Thai; Twin Peaks; Wendy's; Whataburger; Wok On Fire Chinese; Yank Sing,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-aquilla-d120437058,Aquilla,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-eustace-aa3e3793d7,Eustace,food_service,observed,2,Hernandez Mexican Restaurant; Sonic,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-sharon-s-hallmark-6709796b0d,Sharon's/Hallmark,food_service,observed,128,"Applebee's; Arby's; Barbacoa El Azul; Basil Garden; Birria Bros; Birria Culiacan; Boba Express; Bonnie's Cafe; Boss Tenders, Dogs & Custard; Buffalo Wild Wings; Burger King; Cabo Joe's; Carl's Jr.; Carlos and Mickey's; Carnitas Queretaro; Chico's Tacos; Chili's; Chuck E. Cheese; Crazy Dave's Pizza; Cuñado's Restaurant; DQ Grill & Chill; Del Paso Mexican Restaurant; Delicious Mexican Eatery; Denny's; Desert Oak BBQ; Domino's; Don Taco; Dunkin'; Dutch Bros. Coffee; El Amachado; El Barril; El Cometa; El Paso Street Tacos; El Paso Tamales; El Portal Del CIRO's Mexican & Seafood; El Sazon De Mi Abuela; Elotes Y Mas; Ernie's Cafe; Fishmart; Flores Meat Market & Restaurant; Frisco Burger; Game Vault; Global Coffee; Global Coffee Roasters; Golden Corral; Grand China Buffet; Great American Steakburger; Hamburger House; Hayashi Hibachi; Jack in the Box; Julio's Mexican Food; KFC; Kee's Teriyaki & Sushi; King Crab; Kung Fu Noodle; La Catedral; La Tacqueria; Lemon Beaters; Lin's Grand Buffet; Little Caesars; McDonald's; Mekong Thai; Mi Pueblito Cafe; Morra Mia; Panda Express; Papa Eric's; Papa John's; Peter Piper Pizza; Pho So i; Pizza Hut; Popeyes; Pupusona Pellicano; Red Wasabi; Rudy's Country Store and Bar-B-Q; Schlotzsky's; Sonic; Southern Comfort; Starbucks; Subway; Taco Bell; Tacos Don Cuco; Tacotote; Texas Roadhouse; The Sandwich Shop; Tortas Nico; Tortilleria; Tropical Smoothie Cafe; Urban Gyros; Wendy's; Whataburger; Wicked Pho; Wienerschnitzel; Wing It! Wings and Things; Wing Kings; Xtreme Pizza & Wings",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON,food_service,observed,434,"1891 American Eatery and Bar; AHH, Coffee!; Abasolo #2 Restaurant; Abdallah's Lebaese Cafe; Abu Omar Halal; Active Passion; Agora; Aiko; Aladdin Mediterranean cuisine; Albi; Antidote Coffee; Antojitos Salvadorenos; Açai Brasil; Açaí Brasil; B&B Butchers; B.B. Lemon; BB's Tex-Orleans; BCN Taste & Traditions; Baby Barnaby's Cafe; Bambolino's Italian Kitchen; Barbacana; Barnaby's Cafe; Bellagreen; Big City Wings; Bird Haus Hot Chicken; Birraporetti's; Birria Los Primos; Black Hole Coffee House; Blacksmith; Blodgett Fish Market; Blue Tile Coffee; Bobbie Q's Rib Shack; Bodegas Taco Shop; Bouray’s PHO; Bowl; Brasa's Steakhouse; Brasil; Brass Tacks; Breakfast Klub; Brennan's; Brothers Taco House; Buffalo Wild Wings; Bunslut; Burger King; Burger Vibe; CAVA; Cafe 4212; Cafe Brussels; Cafe Express; Cafe Ginger; Cafe Layal Midtown; Cafe Leonelli; Caffvino; Cali Sandwich & Pho; Campesino Coffee House; Canary Coffee House; Candente; Cantina Barba; Cariño Coffee; Casa Bakery & Restaurant; Catalina Coffee; Champ Burger; Chapultepec Lupita; Chatter's Cafe & Bistro; Cheba Hut; Chick-fil-A; Chili's; China Garden Restaurant; Chipotle; Chocolate Wasted Ice Cream; Christian’s Tailgate; Christy's; Church's Chicken; Cinnabon; Citadel BBQ; Cloud 10 Creamery; CoCo Crepes & Coffee; Coastline Pizzeria; Coltivare Pizza & Garden; Common Bond; Common Grounds Uncommon Coffee; Conservatory; Coral Sword; Corner Bakery; Cream Burger; Da Marco; Dish Society; District 7 Grill; Domino's; Donna Maria; Drake's Hollywood; Dripped Birria; Ducky’s; EZ Backyard Bar B Q; Eden Plant Co; Eden Plant Co.; Einstein Bros. Bagels; El Gato Coffee House; El Greco Greek; El Pueblito Patio; El Tiempo Cantina; Emma Jane; Empire Cafe; Fabian's Latin Flavors; Fainmous BBQ; Fia's Pizzeria; Fiesta Loma Linda; Fifth Vessel; Figata; First Watch; Five Guys; Fix Coffeebar; Flakey's Pizza; Flora; Frank's Pizza; Freebirds; Fresh Healthy Cafe; Fukuoka Sushi Bar & Grill; Gen Korean BBQ House; Gotham Pizza; Great American Cookies; Guadalajara Del Centro; Gus's World Famous Fried Chicken; Gypsy Poet; Gyu-Kaku; Hard Rock Cafe; Harry's; Hearsay Gastro Lounge; Helen in the Heights; Henderson & Kane; Home Slice Pizza; Hot Potato 1.2.3. Express | Wing Xscape; House of Blues Houston; Houston This Is It Soul Food; Houston food park; Hugo's; Hungry Like The Wolf; Huynh Restaurant; Irma's Southwest Grill; Isa Matcha; J Bar M Barbecue; JINYA Ramen Bar; Jack in the Box; Jason's Deli; Jersey Mike's Subs; Jimmy John's; John's Broiler Burger; JuiceLand; KFC; Kanau Sushi & Izakaya; Katami; Katz's; Kefita Coffee; Kendra's Cook'n; Khung Khai Thai; Killen's; Killer Burger; Kim Son; Kiss; Kulture; Kung Fu Tea; Kura Sushi; La Calle; La Calle Tacos; La Griglia; La Guadalupana; La Madeleine; La Mexicana; La Sicilia; La Tapatia; La Villa; Lao Sze Chuan; Laredo Taqueria; Las Perras Cafe; Last Concert Cafe; Laurenzo's; Le Jardinier; Leeland House; Liberty Grill; Lions Den Kitchen; Little Caesars; Little New Orleans; Local Foods; Local Pho Vietnamese Noodle; Lone Star Taco; Los Charros; Luby's; Luce Coffee Roasters; Luchi & Joeys - Underground Downtown; Luigi's Pizzeria; Luna Pizzeria; Luv'em Leches; Lúa Viet Kitchen; MOD Pizza; Mademoiselle Louise; Maderas - Kitchen & Cantina; Main Bird Hot Chicken; Maison Pucha Bistro; Mala Sichuan Bistro; Mandola's Deli; Mapojeong; Marco's Pizza; Maven; McCormick & Schmick's; McDonald's; Melange Creperie; Mendocino Farms; Mercantile; Merida Mexican Restaurant; Midtown Bar and Grill; Mint Thai Kitchen; Minuti Coffee; Moon Tower Inn; My Fir Foods; Navy Seafood; Neighbors; New Heights Coffee Roasters; Nidda Thai Cuisine; Niko Niko's; Ninfa’s on Navigation; Ninja Ramen; Nonno's Family Pizza Tavern; Noon Mediterranean; Nua Thai Restaurant; Oak Leaf Smokehouse; One Dim Sum; Onion Creek; Oporto Fooding House; Otto's; Oui Banh Mi; Pad Thai; Panda Express; Panera Bread; Pappa Geno's; Pappadeaux Seafood Kitchen; Pappas BBQ; Pappas Bros. Steakhouse; Parlor Doughtnuts; Paulie's; Pavón Coffee Den; Pepe's Taqueria; Pepper Twins River Oaks; Pepperoni's; Perbacco; Perk Coffee Shop; Phil & Derek's Restaurant & Jazz Lounge; Pho Saigom; Piggy's Kitchen & Bar; Pinballz Pizzeria; Pink's Pizza; Piola; Pizaro's Pizza Napoletana; Pizza Birra Vino; Pizza Hut; Pizza Love; Pokeworks; Poké Fresh; Poké in the Bowl; Popeyes; Poppa Burger; Postino; Postino Montrose; Potbelly; Press Waffle Co.; Pressed; PrimoHoagies; Ramen Tatsu-Ya; Rare; Reggae Hut; Riva's; Rivas Coffee; Rodeo Goat; Roll-em-Up Taquitos; Roma Norte; Roma's Pizza; Russo's New York Pizzeria; Salata; Saltgrass Steak House; Sam's Cafe; Sambuca; Sapporo Sushi & Bar; Schlotzsky's; Seaside Lounge; Shake Shack; Shokku Ramen; Simply Phở; Siphon Coffee; Siu Lap City; Slowdrip TX; Smashburger; Smoothie King; Snooze, an A.M. Eatery; Solecita; Someburger; Sonic; Sorrento Ristorante; SouthSide Espresso; Spanish Village; Sparkles Burger; Spicy Girl; Stanton's City Bites; Star Pizza #2; Starbucks; Station 8 Coffe; Stuff'd Wings; Subway; Table 7 Bistro; Taco Bell; Taco Cabana; Tacodeli; Tacos A Go Go; Tacos a Go-Go; Taqueria Abasolo; Taqueria El Novillo; Taqueria El Palomo; Taqueria El Zocalo; Taqueria Monterrey Chiquito; Taste Kitchen + Bar; Tex Chick; Texas Coney Island #2; The Big Casino Bar; The Burger Joint; The Cajun Shop; The Cookshack; The District; The Doshi House; The Fish; The Grove; The Kennedy Houston; The Lake House; The Monk's Kitchen; The Nook Cafe; The Pass & Provisions; The Pit Room; The Raven Tower; The Studewood Cantine; The Sunrise House; The Toasted Coconut; Thien An Sandwiches; Think Tacos; Toros Htx Coffee; Tout Suite; Tropical Smoothie Cafe; Truth Barbecue; Tumble 22; Uchi; Urban Bird Hot Chicken; Urban Eats; Velvet Taco; Verde Garden; Vic & Anthony's Steakhouse; Vinny's; Vitingho Restaurant; Voodoo Doughnut; Waffle Bus; Wanna Bao; Whataburger; Wingstop; Winnie's; Wise Street Eats; Wokker Underground; World of Sourdough; Xin Chao; Xochi; Your Pie; Zalat Pizza; Zero's Sandwich Shop; green seed vegan; vacant",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-brady-78c2feb851,Brady,food_service,observed,2,Mac's Bar-B-Q; McDonald's,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-vidor-56f6f66a69,Vidor,food_service,observed,15,Burger King; DQ Grill & Chill; Domino's; Dunkin'; Jack in the Box; Little Caesars; McDonald's; Pizza Hut; Popeyes; Sonic; Subway; Taco Bell; Waffle House; Whataburger,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-tennessee-colony-2be2ac6bfa,Tennessee Colony,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-mountain-home-040d568fdd,Mountain Home,food_service,checked_absent,0,,Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
national-post-office-tx-astrodome-4e10ef4349,Astrodome,food_service,observed,237,"100% Taquito; 168 Szechuan; Abu Omar; Akashi Asian Sushi Cuisine & Wine Bar; Albert and Hazel Herzstein Trading Post; Ambassador Cafe; Angelo'z; Antonio's Grill; Arby's; Asahi Sushi; Azuma Sushi And Robata Bar; Bacco Wine and Spirits; Barnaby’s Cafe; Becks Prime; Berripop Frozen Yogurt; Betsy’s; Bitty & Beau's; Black Walnut Cafe; Blossom Reserve; Bodegas Taco Shop; Boston Market; Boudreaux Cajun Restaurant; Burger King; Cafe Leonelli; Café Express; Calliope's; Captain Benny's Seafood; Catfish Station; Cavo Coffee; Chacho's Grill; Charleys Philly Steaks; Cherry de Pön; Chick-fil-A; China Stix; Chipotle; Chuck E. Cheese's; Church's Chicken; Citadel BBQ; Cleburne Cafeteria; Cliff's Grill; CoCo Crêpes, Waffles & Coffee; CoffeeTrend; Cooking Girl; Crave Cupcakes; Cypress Circle Cafe; Dak & Bop; Dawn Donuts; Denny's; Dimassi's Mediterranean Buffet; Domino's; Don Pepe; Doña Leti's; Dunkin'; Einstein Bros. Bagels; El Meson; El Tiempo Cantina; Elements Grill; Ella Coffee; Ella Coffee at M&Co; Escalante's Mexican Grille; Fajita Pete's; Fia's Pizzeria; Firehouse Subs; Five Guys; Freds Italian; Fuddruckers; Glazed the Doughnut Cafe; Go Fish; Goode Company Barbeque; Goode Company Seafood; Goode Company Taqueria; Grinder's Coffee Bar; Gyro King; Holland Private Dining Room; HopDoddy; Hu's Garden; Hungry's; IHOP; Island Grill; Istanbul Grill; JJ Garden Restaurant; Jack in the Box; Jack's Cafe; James Coney Island; Japanese Ramen Gachi; Jerry Built; Jimmy John's; Jollibee; JuiceLand; KFC; Koko Cafe; Kolache Factory; La Fresca Pizza; La Madeline; La Tazza Specialty Coffee; Le Jardinier; Liberty Taco; Little Kitchen HTX; Little Matt's; Local Foods; Luby's; Luby's Cafeteria; Luigi's Pizzeria; MOD Pizza; Marco's Pizza; Max's Restaurant; McDonald's; Mendocino Farms; Morningside Thai Restaurant; Olive Garden; Osaka Sushi; Panda Express; Panda Garden; Panera Bread; Papa John's; Pappadeaux Seafood Kitchen; Pappas Bar-B-Q; Pappasito's Cantina; Pepperoni's; Periodic Table; Pink's Pizza; Pizza Hut; Plucker's; Plum Skybar and Lounge; Poké in the bowl; Popeyes; Quiznos; Raising Cane's; Reggae Hut; Rice Coffeehouse; Ruchi's Mexican Grill Taqueria; Russo's New York Pizza; Salata; Saltgrass Steak House; Sammy's; Sarpino's Pizzeria; Schlotzsky's; Shake Shack; Shawarma Stop; Shipley Do-Nuts; Shipley's Donuts; Shiva Indian Restaurant; Sixty Vines; Skeeter's; Smashburger; Smoothie King; Snooze - An A.M. Eatery; Sonic; Spanish Village; Sprinkles Houston Rice Village; Starbucks; Subway; Sunday Press; Super La Mexicana; Sweetgreen; Taco Bell; Taco Cabana; Tacos “El Zeba’s”; Tapster's Grill; Teahouse Tapioca and Tea; Texas Medical Center Commons; Thai Bistro; Thai Spice; The Buffalo Grille; The Catch; The Gyro Guys; The Halal Guys; The Teahouse; Tiger Noodle House; Torchy's Tacos; Twiga Café; Velvet Taco; Viet's Express; Watershed; Wendy's; Whataburger; Willy's Pub; WingStreet; Wingstop; Yoshi; Z Pizza; Zalat Pizza",Local Geofabrik sidecar status for bounded target boxes only; not complete inventory or frequency.
