target_id,label,anchor_field,state,primary_city,target_kind,postal_code_hint,min_lat,max_lat,min_lon,max_lon,pilot_role,target_note,seed_facility_id,seed_facility_name,seed_source,seed_source_date,sample_stratum,settlement_size_proxy,settlement_proxy_source,settlement_proxy_source_date,settlement_proxy_join_key,settlement_proxy_note
national-post-office-tx-postal-service-2c5fb90ddb,Postal Service post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Postal Service,post_office_point_probe,,31.0492,31.1192,-97.7657,-97.6757,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:14090329801,United States Postal Service,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,50000_plus,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-aquilla-d120437058,Aquilla post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Aquilla,post_office_point_probe,,31.8159,31.8859,-97.2641,-97.1741,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1317723972,Aquilla Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,under_2500,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-eustace-aa3e3793d7,Eustace post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Eustace,post_office_point_probe,,32.2743,32.3443,-96.0532,-95.9632,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:258889369,Eustace Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,under_2500,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-sharon-s-hallmark-6709796b0d,Sharon's/Hallmark post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Sharon's/Hallmark,post_office_point_probe,,31.7323,31.8023,-106.3625,-106.2725,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1013619118,Sharon's/Hallmark,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,50000_plus,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-sam-houston-5869764f51,SAM HOUSTON post-office-centered national sample candidate,national_post_office_sample_candidate,TX,SAM HOUSTON,post_office_point_probe,,29.7225,29.7925,-95.4063,-95.3163,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:14055375301,USPS SAM HOUSTON,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,50000_plus,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-brady-78c2feb851,Brady post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Brady,post_office_point_probe,,31.0982,31.1682,-99.3787,-99.2887,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:217920512,Brady Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,2500_to_9999,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-vidor-56f6f66a69,Vidor post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Vidor,post_office_point_probe,,30.0910,30.1610,-94.0604,-93.9704,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1086972281,Vidor Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,2500_to_9999,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-tennessee-colony-2be2ac6bfa,Tennessee Colony post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Tennessee Colony,post_office_point_probe,,31.7996,31.8696,-95.8859,-95.7959,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:1504266767,Tennessee Colony Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,10000_to_49999,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-mountain-home-040d568fdd,Mountain Home post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Mountain Home,post_office_point_probe,,30.1430,30.2130,-99.4190,-99.3290,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:798253344,Mountain Home Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,10000_to_49999,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-astrodome-4e10ef4349,Astrodome post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Astrodome,post_office_point_probe,,29.6588,29.7288,-95.4631,-95.3731,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:186826435,Astrodome Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,50000_plus,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-dallas-lake-highlands-station-ddaa42f713,Dallas Lake Highlands Station post-office-centered national sample candidate,national_post_office_sample_candidate,TX,Dallas Lake Highlands Station,post_office_point_probe,,32.8558,32.9258,-96.7489,-96.6589,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:way:259213507,Dallas Post Office - Lake Highlands Station,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,50000_plus,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
national-post-office-tx-el-campo-6f0d5231c3,El Campo post-office-centered national sample candidate,national_post_office_sample_candidate,TX,El Campo,post_office_point_probe,,29.1595,29.2295,-96.3134,-96.2234,national_sample_contract_probe,"Bounded around reviewed open post-office seed; target box is a sample probe, not a city, ZIP, ZCTA, CDP, county, trade-area, or catchment boundary.",osm:node:3203488518,El Campo Post Office,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T03:29:35Z,TX,10000_to_49999,Census 2020 PL Texas geography file txgeo2020.pl,2021-08-12,target_id,Coordinate join to Census incorporated place when available; otherwise county subdivision as settlement proxy.
